INVENTORYRELID,Product Name,List Price,Quantity,Total,Discount,Total After Discount,Tax,Net Total,BOOKID
22000046,Lumia 710,"$1,774.59",6,"$10,647.53",$0.00,"$10,647.53",$212.95,"$10,860.48",24000001
22000047,petrol,$372.41,3,"$1,117.24",$22.34,"$1,094.89",$0.00,"$1,094.89",24000003
22000048,dinner jacket,"$1,231.06",3,"$3,693.18",$73.86,"$3,619.31",$73.86,"$3,693.18",24000008
22000049,Holy trinity (cuisine),"$1,533.1",7,"$10,731.68",$0.00,"$10,731.68",$321.95,"$11,053.63",24000009
22000050,Transmission gear,"$1,937.74",8,"$15,501.93",$0.00,"$15,501.93",$0.00,"$15,501.93",24000004
22000051,gas fire,"$1,666.81",7,"$11,667.65",$233.35,"$11,434.30",$233.35,"$11,667.65",24000005
22000052,cello,$663.98,2,"$1,327.97",$0.00,"$1,327.97",$26.56,"$1,354.53",24000006
22000053,Mk2 Clamp-O-Tron[Note 1],$316.9,2,$633.79,$25.35,$608.44,$12.68,$621.12,24000006
22000054,Air intake manifold,$945.79,2,"$1,891.58",$0.00,"$1,891.58",$56.75,"$1,948.33",24000002
22000055,Condoms / Other b.c.,$873.34,5,"$4,366.69",$43.67,"$4,323.02",$87.33,"$4,410.36",24000005
22000056,Master stock,$507.26,2,"$1,014.53",$40.58,$973.95,$20.29,$994.24,24000008
22000057,Spark plugLighting and signaling system    Engine bay lighting,"$1,028.63",3,"$3,085.90",$30.86,"$3,055.04",$61.72,"$3,116.76",24000008
22000058,Rocket mass heater,$534.11,4,"$2,136.44",$21.36,"$2,115.08",$85.46,"$2,200.54",24000007
22000059,jumper,"$1,117.17",7,"$7,820.16",$312.81,"$7,507.35",$0.00,"$7,507.35",24000001
22000060,TurboJet Engine,$469.28,10,"$4,692.79",$140.78,"$4,552.00",$93.86,"$4,645.86",24000009
22000061,slippers,"$1,271.63",10,"$12,716.27",$381.49,"$12,334.78",$381.49,"$12,716.27",24000006
22000062,Steering column assembly,$722.97,8,"$5,783.74",$115.67,"$5,668.06",$57.84,"$5,725.90",24000007
22000063,Cake / Cookies,$122.89,1,$122.89,$4.92,$117.97,$0.00,$117.97,24000007
22000069,Bouillon cube,$770.94,8,"$6,167.49",$61.67,"$6,105.81",$185.02,"$6,290.84",24000007
22000070,socks,$153,7,"$1,071.03",$21.42,"$1,049.61",$10.71,"$1,060.32",24000004
22000071,linen,"$1,071.89",5,"$5,359.44",$0.00,"$5,359.44",$214.38,"$5,573.82",24000003
22000072,Syrup of Maidenhair,$275.37,9,"$2,478.30",$24.78,"$2,453.52",$99.13,"$2,552.65",24000008
22000073,Instrument cluster,"$1,110.29",8,"$8,882.34",$355.29,"$8,527.04",$355.29,"$8,882.34",24000005
22000074,nightie,$664.31,6,"$3,985.85",$39.86,"$3,945.99",$0.00,"$3,945.99",24000008
22000075,C2-02,$612.03,7,"$4,284.20",$128.53,"$4,155.68",$0.00,"$4,155.68",24000006
22000076,Air freshener Broccoli,"$1,207.2",4,"$4,828.81",$144.86,"$4,683.95",$193.15,"$4,877.10",24000006
22000077,lampshade,"$1,817.98",9,"$16,361.83",$654.47,"$15,707.36",$163.62,"$15,870.98",24000006
22000078,back door product,$617.82,9,"$5,560.36",$222.41,"$5,337.95",$166.81,"$5,504.76",24000003
22000079,Worcestershire sauce,$384.44,8,"$3,075.56",$0.00,"$3,075.56",$123.02,"$3,198.58",24000001
22000080,hydrogen,$847.85,9,"$7,630.61",$228.92,"$7,401.69",$305.22,"$7,706.92",24000009
22000081,Grab Handle,"$1,519.98",3,"$4,559.94",$45.60,"$4,514.34",$45.60,"$4,559.94",24000003
22000082,chest of drawers,"$1,519.05",9,"$13,671.43",$410.14,"$13,261.28",$410.14,"$13,671.43",24000001
22000083,Fuel cap,"$1,477.49",5,"$7,387.43",$221.62,"$7,165.81",$0.00,"$7,165.81",24000003
22000084,Pickles,$222.56,8,"$1,780.48",$53.41,"$1,727.07",$53.41,"$1,780.48",24000001
22000085,armchair,"$1,292.82",10,"$12,928.25",$517.13,"$12,411.12",$517.13,"$12,928.25",24000007
22000089,lager,$113.89,3,$341.66,$6.83,$334.82,$6.83,$341.66,24000003
22000090,pen,$656.02,2,"$1,312.04",$0.00,"$1,312.04",$52.48,"$1,364.52",24000005
22000091,Ignition coil parts,"$1,772.12",3,"$5,316.37",$53.16,"$5,263.21",$53.16,"$5,316.37",24000002
22000092,Food grain,"$1,228.63",7,"$8,600.39",$86.00,"$8,514.39",$258.01,"$8,772.40",24000008
22000093,Torque converter,"$1,414.09",1,"$1,414.09",$14.14,"$1,399.95",$14.14,"$1,414.09",24000002
22000102,TVR-200 Stack Bi-Coupler,$185.49,6,"$1,112.92",$22.26,"$1,090.66",$0.00,"$1,090.66",24000009
22000103,RC-001S Remote Guidance Unit,$855.63,8,"$6,845.02",$273.80,"$6,571.22",$68.45,"$6,639.66",24000006
22000104,Baked beans,"$1,308.43",7,"$9,159.00",$0.00,"$9,159.00",$183.18,"$9,342.18",24000008
22000105,Kitchen,"$1,442.44",6,"$8,654.64",$86.55,"$8,568.09",$86.55,"$8,654.64",24000001
22000106,SOG Knife,"$1,763.17",7,"$12,342.19",$246.84,"$12,095.34",$493.69,"$12,589.03",24000003
22000107,Buns / Rolls,"$1,358.79",10,"$13,587.86",$543.51,"$13,044.34",$407.64,"$13,451.98",24000006
22000108,OT-891 Soul,$262.11,10,"$2,621.13",$0.00,"$2,621.13",$78.63,"$2,699.76",24000004
22000109,OT-C635,"$1,034.29",10,"$10,342.92",$206.86,"$10,136.06",$0.00,"$10,136.06",24000007
22000110,Fish tape,"$1,626.79",10,"$16,267.91",$162.68,"$16,105.24",$325.36,"$16,430.59",24000001
22000111,DVD player,"$1,461.12",6,"$8,766.75",$175.33,"$8,591.41",$350.67,"$8,942.08",24000003
22000118,Coconut milk,$169.53,5,$847.67,$16.95,$830.72,$16.95,$847.67,24000002
22000119,X3 Touch and Type S,$964.66,3,"$2,893.99",$0.00,"$2,893.99",$115.76,"$3,009.75",24000002
22000120,Satsivi,$292.02,5,"$1,460.09",$0.00,"$1,460.09",$43.80,"$1,503.89",24000007
22000121,attic product,$169.16,4,$676.66,$13.53,$663.12,$0.00,$663.12,24000002
22000127,Oxo (food),"$1,051.91",5,"$5,259.56",$0.00,"$5,259.56",$0.00,"$5,259.56",24000002
22000128,paper,$760.25,9,"$6,842.23",$273.69,"$6,568.54",$68.42,"$6,636.97",24000008
22000129,Radiator,"$1,846.92",7,"$12,928.43",$517.14,"$12,411.29",$0.00,"$12,411.29",24000004
22000130,Exhaust manifold gasket,"$1,576.45",2,"$3,152.91",$63.06,"$3,089.85",$94.59,"$3,184.44",24000006
22000138,OT-997,$506.07,9,"$4,554.59",$45.55,"$4,509.04",$0.00,"$4,509.04",24000006
22000139,Speedometer,"$2,099.08",7,"$14,693.58",$587.74,"$14,105.84",$587.74,"$14,693.58",24000006
22000142,trampoline product,$604.5,5,"$3,022.49",$120.90,"$2,901.59",$60.45,"$2,962.04",24000001
22000143,hair tie,$708.83,9,"$6,379.51",$191.39,"$6,188.13",$127.59,"$6,315.72",24000005
22000144,OT 300,$287.75,10,"$2,877.53",$57.55,"$2,819.98",$57.55,"$2,877.53",24000004
22000145,OT-585,"$1,278.29",7,"$8,948.01",$0.00,"$8,948.01",$268.44,"$9,216.45",24000005
22000146,screwdriver,$821.92,4,"$3,287.67",$131.51,"$3,156.16",$65.75,"$3,221.92",24000008
22000147,OT-V270,"$1,993.52",3,"$5,980.55",$0.00,"$5,980.55",$179.42,"$6,159.97",24000009
22000148,Camshaft pushrod,$166.63,5,$833.13,$24.99,$808.14,$16.66,$824.80,24000001
22000149,OT-690,$838,2,"$1,676.00",$16.76,"$1,659.24",$33.52,"$1,692.76",24000003
22000150,BZ-52 Radial Attachment Point,"$1,945.25",6,"$11,671.52",$466.86,"$11,204.66",$466.86,"$11,671.52",24000005
22000151,OT Easy HF,"$1,784.19",4,"$7,136.76",$0.00,"$7,136.76",$142.74,"$7,279.49",24000005
22000155,floor harness,$506.67,4,"$2,026.67",$40.53,"$1,986.14",$81.07,"$2,067.20",24000003
22000157,Chili night,"$1,883.74",7,"$13,186.18",$0.00,"$13,186.18",$527.45,"$13,713.62",24000001
22000158,plastic wrap,"$1,186.55",1,"$1,186.55",$0.00,"$1,186.55",$47.46,"$1,234.01",24000003
22000159,One Touch Evolve 2,"$1,566.31",3,"$4,698.92",$0.00,"$4,698.92",$187.96,"$4,886.88",24000007
22000160,plate,"$1,799.74",6,"$10,798.42",$431.94,"$10,366.48",$0.00,"$10,366.48",24000007
22000161,Alarm and siren,$141.05,9,"$1,269.43",$25.39,"$1,244.04",$0.00,"$1,244.04",24000007
22000165,bin liner,$801.23,5,"$4,006.13",$0.00,"$4,006.13",$160.25,"$4,166.38",24000005
22000166,Pop D5,$647.15,8,"$5,177.20",$207.09,"$4,970.11",$0.00,"$4,970.11",24000005
22000167,OT-997D,$348.9,7,"$2,442.31",$73.27,"$2,369.04",$0.00,"$2,369.04",24000009
22000168,Z-200 Rechargeable Battery Bank,"$1,190.72",7,"$8,335.04",$0.00,"$8,335.04",$250.05,"$8,585.10",24000006
22000169,N86 8MP,$283.53,5,"$1,417.64",$0.00,"$1,417.64",$0.00,"$1,417.64",24000009
22000170,broom,$214.11,10,"$2,141.07",$0.00,"$2,141.07",$64.23,"$2,205.30",24000009
22000171,asbestos,$231.28,4,$925.13,$9.25,$915.88,$0.00,$915.88,24000008
22000172,Brace (tool),$116.34,7,$814.38,$0.00,$814.38,$0.00,$814.38,24000006
22000173,gate product,"$1,297.08",10,"$12,970.81",$0.00,"$12,970.81",$0.00,"$12,970.81",24000003
22000174,martini,"$1,675.69",8,"$13,405.50",$402.17,"$13,003.34",$134.06,"$13,137.39",24000004
22000175,Pickles,$231.55,6,"$1,389.32",$41.68,"$1,347.64",$0.00,"$1,347.64",24000008
22000176,TT-38K Radial Decoupler,$676.29,7,"$4,734.03",$94.68,"$4,639.35",$47.34,"$4,686.69",24000001
22000177,Böker,$936.14,6,"$5,616.81",$56.17,"$5,560.64",$56.17,"$5,616.81",24000007
22000183,N950,"$1,547.25",6,"$9,283.50",$0.00,"$9,283.50",$371.34,"$9,654.84",24000003
22000184,Clutch lining,"$1,565.27",5,"$7,826.36",$234.79,"$7,591.57",$0.00,"$7,591.57",24000002
22000195,Mustard (condiment),$732.62,10,"$7,326.20",$293.05,"$7,033.16",$0.00,"$7,033.16",24000005
22000196,Door contact,$163,1,$163.00,$3.26,$159.74,$1.63,$161.37,24000005
22000197,Tomahawk (axe),$172.63,6,"$1,035.80",$0.00,"$1,035.80",$41.43,"$1,077.23",24000003
22000198,Mk3 Passenger Module,"$1,632.85",10,"$16,328.47",$0.00,"$16,328.47",$0.00,"$16,328.47",24000005
22000199,Label,$244.73,5,"$1,223.63",$12.24,"$1,211.40",$0.00,"$1,211.40",24000004
22000200,Leaf and parabolic leaf spring,"$1,142.48",10,"$11,424.79",$228.50,"$11,196.29",$342.74,"$11,539.03",24000001
22000201,Fan belt,$525.76,3,"$1,577.27",$47.32,"$1,529.96",$0.00,"$1,529.96",24000007
22000202,Steak sauce,"$1,069.32",2,"$2,138.64",$0.00,"$2,138.64",$64.16,"$2,202.80",24000005
22000203,beer,"$1,640.65",4,"$6,562.58",$262.50,"$6,300.08",$131.25,"$6,431.33",24000003
22000205,stout,$931.89,7,"$6,523.23",$0.00,"$6,523.23",$260.93,"$6,784.16",24000009
22000206,OT-108,"$1,110.94",3,"$3,332.81",$99.98,"$3,232.83",$0.00,"$3,232.83",24000005
22000207,Lotion Fries / Tater tots,$498.11,4,"$1,992.46",$39.85,"$1,952.61",$39.85,"$1,992.46",24000008
22000208,Asha 501,$735.14,5,"$3,675.70",$147.03,"$3,528.67",$36.76,"$3,565.42",24000001
22000209,Aspic,"$1,396.49",10,"$13,964.93",$418.95,"$13,545.98",$279.30,"$13,825.28",24000002
22000211,tea towel,"$1,882.04",5,"$9,410.20",$188.20,"$9,221.99",$188.20,"$9,410.20",24000005
22000212,oboe,$972.73,3,"$2,918.19",$116.73,"$2,801.46",$0.00,"$2,801.46",24000006
22000213,Comal (cookware),"$1,453.3",9,"$13,079.68",$523.19,"$12,556.49",$0.00,"$12,556.49",24000005
22000214,X6,$170.13,3,$510.39,$20.42,$489.97,$5.10,$495.08,24000002
22000215,Blu-ray player,$348.85,7,"$2,441.98",$97.68,"$2,344.30",$24.42,"$2,368.72",24000005
22000216,TR-38-D,$983.02,5,"$4,915.12",$0.00,"$4,915.12",$0.00,"$4,915.12",24000006
22000217,OT-S215A,"$1,158.73",10,"$11,587.33",$0.00,"$11,587.33",$231.75,"$11,819.07",24000005
22000218,coffee table,"$1,846.7",9,"$16,620.27",$166.20,"$16,454.07",$0.00,"$16,454.07",24000001
22000219,OT Max db,"$1,379.68",7,"$9,657.73",$0.00,"$9,657.73",$386.31,"$10,044.04",24000005
22000220,Convection oven,"$1,515.67",9,"$13,641.04",$409.23,"$13,231.81",$545.64,"$13,777.45",24000004
22000221,fabric softener,"$2,056.74",5,"$10,283.69",$102.84,"$10,180.86",$308.51,"$10,489.37",24000004
22000222,duvet,"$1,832.81",7,"$12,829.66",$256.59,"$12,573.07",$513.19,"$13,086.26",24000009
22000223,Hatchet,$818.89,5,"$4,094.47",$122.83,"$3,971.64",$81.89,"$4,053.53",24000005
22000224,OT-108,"$1,122.63",7,"$7,858.42",$235.75,"$7,622.67",$314.34,"$7,937.01",24000007
22000229,Pizza Rolls,"$1,215.7",8,"$9,725.62",$97.26,"$9,628.37",$0.00,"$9,628.37",24000002
22000230,Lumia 530,"$1,697.28",1,"$1,697.28",$16.97,"$1,680.30",$67.89,"$1,748.19",24000003
22000231,overcoat,"$1,993.01",4,"$7,972.04",$318.88,"$7,653.16",$159.44,"$7,812.60",24000007
22000233,Seafood Non-stick spray,$962.42,4,"$3,849.67",$115.49,"$3,734.18",$76.99,"$3,811.17",24000005
22000234,OT-E105,$370.08,6,"$2,220.48",$66.61,"$2,153.86",$88.82,"$2,242.68",24000003
22000235,Valve housing,$341.02,9,"$3,069.18",$122.77,"$2,946.41",$122.77,"$3,069.18",24000001
22000236,Engine cradle,"$1,125.98",7,"$7,881.87",$78.82,"$7,803.05",$157.64,"$7,960.69",24000008
22000237,Voltage regulatorGauges and meters    Ammeter,$459.66,4,"$1,838.64",$73.55,"$1,765.09",$73.55,"$1,838.64",24000004
22000238,Cheater bar,"$1,836.11",3,"$5,508.34",$165.25,"$5,343.09",$0.00,"$5,343.09",24000006
22000239,Gigantor XL Solar Array,$232.76,8,"$1,862.06",$0.00,"$1,862.06",$18.62,"$1,880.68",24000002
22000240,Bath soap / Hand soap,"$1,740.42",4,"$6,961.68",$139.23,"$6,822.44",$139.23,"$6,961.68",24000002
22000241,OT-255,"$1,210.96",5,"$6,054.78",$242.19,"$5,812.58",$60.55,"$5,873.13",24000002
22000242,Mouthwash,"$1,262.96",7,"$8,840.71",$265.22,"$8,575.49",$176.81,"$8,752.30",24000006
22000245,Differential flange,"$2,046.05",1,"$2,046.05",$0.00,"$2,046.05",$20.46,"$2,066.52",24000002
22000246,OT-C635,$973.45,7,"$6,814.16",$68.14,"$6,746.02",$136.28,"$6,882.30",24000006
22000247,grill,"$1,901.31",10,"$19,013.13",$0.00,"$19,013.13",$380.26,"$19,393.39",24000002
22000248,temperature gauge,$331.04,1,$331.04,$9.93,$321.11,$0.00,$321.11,24000005
22000249,pond product,"$1,384.48",10,"$13,844.85",$415.35,"$13,429.50",$138.45,"$13,567.95",24000001
22000250,Malted milk,"$1,107.15",1,"$1,107.15",$11.07,"$1,096.08",$22.14,"$1,118.22",24000004
22000251,Control arm,"$2,041.57",7,"$14,290.96",$142.91,"$14,148.05",$571.64,"$14,719.69",24000008
22000252,Beer,"$1,703.34",4,"$6,813.35",$272.53,"$6,540.82",$0.00,"$6,540.82",24000008
22000253,Meat extract,$841.07,3,"$2,523.22",$50.46,"$2,472.75",$0.00,"$2,472.75",24000009
22000254,Anchor,"$1,297.25",3,"$3,891.74",$116.75,"$3,774.99",$116.75,"$3,891.74",24000001
22000255,Nage (food),"$1,383.82",3,"$4,151.45",$41.51,"$4,109.93",$83.03,"$4,192.96",24000005
22000256,Differential flange,"$1,966.6",6,"$11,799.58",$471.98,"$11,327.59",$353.99,"$11,681.58",24000006
22000257,Bisquick,"$1,178.23",4,"$4,712.93",$188.52,"$4,524.42",$188.52,"$4,712.93",24000005
22000258,Slow cooker,"$1,565.96",6,"$9,395.73",$187.91,"$9,207.82",$375.83,"$9,583.65",24000007
22000259,Side lighting,$366.98,5,"$1,834.91",$73.40,"$1,761.51",$18.35,"$1,779.86",24000007
22000260,draining board,"$1,942.09",7,"$13,594.60",$407.84,"$13,186.77",$543.78,"$13,730.55",24000008
22000261,Door switch,$712.24,1,$712.24,$14.24,$697.99,$7.12,$705.11,24000001
22000262,Ganache,$122.77,2,$245.54,$4.91,$240.63,$2.46,$243.08,24000009
22000264,Speed reducer,$303.2,2,$606.41,$12.13,$594.28,$12.13,$606.41,24000002
22000265,Provolone,"$1,134.7",7,"$7,942.90",$317.72,"$7,625.19",$317.72,"$7,942.90",24000006
22000271,detergent,$709.74,10,"$7,097.36",$70.97,"$7,026.38",$141.95,"$7,168.33",24000007
22000272,Clamp-O-Tron Docking Port,"$1,262.47",2,"$2,524.93",$75.75,"$2,449.18",$25.25,"$2,474.43",24000008
22000273,SP-L 1x6 Photovoltaic Panels,"$1,479.65",1,"$1,479.65",$14.80,"$1,464.86",$14.80,"$1,479.65",24000008
22000279,Indicator lightSensors    Airbag sensors,"$1,524.28",8,"$12,194.27",$243.89,"$11,950.38",$121.94,"$12,072.32",24000004
22000280,Labrys,"$1,202.6",9,"$10,823.40",$216.47,"$10,606.94",$432.94,"$11,039.87",24000003
22000281,One Touch Evo 7,$297.76,2,$595.53,$11.91,$583.62,$11.91,$595.53,24000003
22000282,Knuckle,"$1,957.54",4,"$7,830.17",$234.91,"$7,595.26",$234.91,"$7,830.17",24000006
22000283,Allergy,$170.34,5,$851.69,$34.07,$817.62,$25.55,$843.17,24000001
22000284,cold tap,$403.5,2,$807.00,$8.07,$798.93,$24.21,$823.14,24000004
22000285,OT-800 One Touch CHROME,"$1,439.79",10,"$14,397.86",$287.96,"$14,109.91",$575.91,"$14,685.82",24000007
22000286,lager,$111.63,7,$781.41,$7.81,$773.60,$0.00,$773.60,24000002
22000287,Labrys,"$1,252.71",3,"$3,758.13",$0.00,"$3,758.13",$112.74,"$3,870.87",24000009
22000288,TR-2C Stack Separator,"$1,941.86",1,"$1,941.86",$19.42,"$1,922.44",$19.42,"$1,941.86",24000009
22000289,earrings,"$1,174.87",1,"$1,174.87",$23.50,"$1,151.37",$23.50,"$1,174.87",24000001
22000290,Carburetor parts,"$1,810.96",9,"$16,298.67",$325.97,"$15,972.70",$325.97,"$16,298.67",24000005
22000291,Front spoiler (air dam),"$1,517.08",1,"$1,517.08",$30.34,"$1,486.74",$45.51,"$1,532.25",24000009
22000292,Oil pressure sensor,"$1,917.38",9,"$17,256.39",$345.13,"$16,911.26",$0.00,"$16,911.26",24000007
22000293,Idol Mini,"$1,928.57",8,"$15,428.54",$308.57,"$15,119.97",$617.14,"$15,737.11",24000006
22000294,Lumia 510,$539.1,6,"$3,234.60",$64.69,"$3,169.91",$129.38,"$3,299.29",24000002
22000295,Net,$178.32,7,"$1,248.24",$0.00,"$1,248.24",$37.45,"$1,285.69",24000005
22000296,steam,"$1,069.87",10,"$10,698.65",$0.00,"$10,698.65",$320.96,"$11,019.61",24000008
22000297,OT-380,$281.58,8,"$2,252.64",$45.05,"$2,207.58",$67.58,"$2,275.16",24000003
22000298,Exhaust pipe,$260.52,1,$260.52,$7.82,$252.70,$7.82,$260.52,24000002
22000299,Food steamer,"$1,229.23",2,"$2,458.46",$73.75,"$2,384.70",$49.17,"$2,433.87",24000009
22000300,spin dryer,"$1,152.33",3,"$3,457.00",$34.57,"$3,422.43",$69.14,"$3,491.57",24000009
22000301,study product,"$1,262.09",5,"$6,310.43",$63.10,"$6,247.32",$63.10,"$6,310.43",24000001
22000302,Battle axe,$929.9,3,"$2,789.71",$0.00,"$2,789.71",$83.69,"$2,873.40",24000005
22000303,Radiator,"$1,901.78",5,"$9,508.88",$190.18,"$9,318.71",$285.27,"$9,603.97",24000003
22000304,Chicken,"$1,838.17",8,"$14,705.32",$441.16,"$14,264.16",$441.16,"$14,705.32",24000005
22000305,Differential flange,"$2,026.19",1,"$2,026.19",$81.05,"$1,945.14",$20.26,"$1,965.40",24000003
22000306,Food grain,"$1,191.4",1,"$1,191.40",$11.91,"$1,179.48",$47.66,"$1,227.14",24000007
22000307,Instant potatoes,"$2,085.95",1,"$2,085.95",$20.86,"$2,065.09",$20.86,"$2,085.95",24000002
22000308,Cat litter,"$1,444.36",1,"$1,444.36",$28.89,"$1,415.47",$0.00,"$1,415.47",24000005
22000314,tax disc,$599.22,10,"$5,992.19",$59.92,"$5,932.27",$179.77,"$6,112.03",24000007
22000315,Shock Cone Intake,$691.43,1,$691.43,$27.66,$663.78,$27.66,$691.43,24000003
22000316,fibreglass,"$1,055.57",8,"$8,444.54",$337.78,"$8,106.76",$253.34,"$8,360.10",24000007
22000317,Shoe web,$221.05,1,$221.05,$6.63,$214.42,$4.42,$218.84,24000008
22000318,clothes line product,$621.32,6,"$3,727.90",$74.56,"$3,653.34",$74.56,"$3,727.90",24000005
22000319,shed product,"$1,839.85",3,"$5,519.54",$110.39,"$5,409.15",$110.39,"$5,519.54",24000008
22000320,desktop computer,$725.31,6,"$4,351.84",$87.04,"$4,264.80",$43.52,"$4,308.32",24000004
22000321,Lobster,"$1,782.9",6,"$10,697.41",$106.97,"$10,590.44",$0.00,"$10,590.44",24000007
22000322,Tabun oven,$956.76,10,"$9,567.55",$191.35,"$9,376.20",$191.35,"$9,567.55",24000003
22000325,Gear pump,"$1,306.79",3,"$3,920.37",$156.81,"$3,763.56",$39.20,"$3,802.76",24000007
22000326,Valve stem seal,$113.37,9,"$1,020.34",$10.20,"$1,010.14",$20.41,"$1,030.55",24000002
22000327,Hot dogs,$354.31,5,"$1,771.53",$70.86,"$1,700.67",$17.72,"$1,718.38",24000009
22000328,Haybox,$169.46,6,"$1,016.75",$30.50,$986.25,$0.00,$986.25,24000009
22000329,Engine compartment harness,$388.54,10,"$3,885.39",$77.71,"$3,807.68",$77.71,"$3,885.39",24000007
22000330,Tuna VeggiesBaby stuff,"$1,646.31",8,"$13,170.50",$526.82,"$12,643.68",$131.70,"$12,775.38",24000007
22000331,Fuel pump gasket,"$1,183.71",10,"$11,837.07",$473.48,"$11,363.59",$236.74,"$11,600.33",24000003
22000334,C5-03,$277.26,2,$554.51,$16.64,$537.88,$0.00,$537.88,24000004
22000335,sideboard,"$2,006.64",7,"$14,046.48",$0.00,"$14,046.48",$140.46,"$14,186.94",24000003
22000338,chair,$803.1,10,"$8,030.98",$0.00,"$8,030.98",$240.93,"$8,271.90",24000008
22000339,Standard Canard,"$1,784.38",1,"$1,784.38",$53.53,"$1,730.85",$0.00,"$1,730.85",24000008
22000340,Asha 202,"$1,512.13",5,"$7,560.63",$226.82,"$7,333.81",$226.82,"$7,560.63",24000008
22000341,O-ring,"$1,440.23",9,"$12,962.05",$259.24,"$12,702.81",$0.00,"$12,702.81",24000006
22000342,OT-E230,"$1,514.51",6,"$9,087.03",$272.61,"$8,814.42",$363.48,"$9,177.90",24000008
22000343,OT-113,$256.81,6,"$1,540.86",$0.00,"$1,540.86",$15.41,"$1,556.27",24000003
22000344,OT 320,$768.7,6,"$4,612.22",$92.24,"$4,519.98",$46.12,"$4,566.10",24000007
22000345,Cooling fan,"$1,794.9",3,"$5,384.69",$53.85,"$5,330.84",$215.39,"$5,546.23",24000008
22000346,Float (woodworking),"$1,631.24",4,"$6,524.95",$0.00,"$6,524.95",$0.00,"$6,524.95",24000008
22000347,Satsivi,$310.27,5,"$1,551.35",$31.03,"$1,520.32",$31.03,"$1,551.35",24000005
22000348,Wet grinder,"$1,590.2",2,"$3,180.39",$63.61,"$3,116.79",$127.22,"$3,244.00",24000008
22000349,Radiator bolt,"$1,318.72",4,"$5,274.87",$210.99,"$5,063.88",$210.99,"$5,274.87",24000006
