PRODUCTID,Product Name,Product Owner,Product Code,Product Active,Product Manufacturer,Product Category,Created Time,Modified Time,Cost,Taxable,Commission Rate,Quantity Ordered,Quantity In Stock,Reorder Level,Quantity In Demand,Cost of Stocks in hand,Need Replenishment
16000010,A/C schrader valve,Thomas Mondrake,P11,Yes,LexPon Inc.,Commercial,"16 Jul, 2019 04:55:13","04 Apr, 2021 12:32:20",$276.49,No,$47.25,42,37,20,9,"$10,230.13",No
16000011,A/C valve,Tina Thomas,P12,Yes,LexPon Inc.,Commercial,"18 May, 2019 12:02:13","18 Jan, 2021 04:03:42",$196.95,No,$37.50,34,38,20,14,"$7,484.10",No
16000012,ABS steel pin,Lazar Mathew,P13,Yes,AltvetPet Inc.,Commercial,"21 Apr, 2019 10:58:53","13 Jan, 2021 04:56:52",$195.16,Yes,$85.46,31,18,20,11,"$3,512.88",Yes
16000013,"ANABAS SZ-200,SZ-300,SZ-350",Rozario Diego,P14,No,NYC Ltd.,Commercial,"13 Aug, 2020 10:14:32","11 Feb, 2021 12:45:14",$410.28,Yes,$92.57,37,16,10,2,"$6,564.48",No
16000014,AUTOBOT,Tina Thomas,P15,No,AltvetPet Inc.,Commercial,"12 Aug, 2020 05:57:22","21 Jan, 2021 08:33:50","$1,163.49",Yes,$32.56,39,10,20,4,"$11,634.90",Yes
16000015,AV-R8 Winglet,Rozario Diego,P16,No,"Johnes Inc.,",Commercial,"18 Jan, 2020 05:00:44","05 Dec, 2020 10:30:01","$1,159.75",Yes,$75.37,6,33,10,13,"$38,271.75",No
16000016,Abitelax AJC-32J,Rozario Diego,P17,Yes,AltvetPet Inc.,Commercial,"22 Aug, 2020 05:07:18","26 Oct, 2020 06:22:19","$1,174.31",Yes,$50.16,41,8,30,4,"$9,394.48",Yes
16000017,Accessory belt,Augustine Paul,P18,Yes,AltvetPet Inc.,Commercial,"28 May, 2020 05:51:11","01 Mar, 2021 09:03:53","$1,972.19",Yes,$45.44,12,37,30,13,"$72,971.03",No
16000018,Adjusting mechanism (adjuster star wheel),Rozario Diego,P19,Yes,MetBeat Corp,Commercial,"08 Feb, 2021 12:14:00","17 Feb, 2021 01:29:25",$511.05,No,$11.08,4,30,30,1,"$15,331.50",No
16000019,Advanced Canard,Tina Thomas,P20,Yes,NYC Ltd.,Commercial,"14 Jun, 2019 12:57:18","25 Mar, 2021 07:31:59","$1,426.04",No,$29.29,4,20,10,18,"$28,520.80",No
16000020,Advanced Grabbing Unit,Lazar Mathew,P21,Yes,AltvetPet Inc.,Commercial,"27 Dec, 2020 06:31:18","01 Apr, 2021 04:33:29",$553.68,Yes,$43.85,36,9,20,18,"$4,983.12",Yes
16000021,Aerodynamic Nose Cone,Santa Cruz Clara,P22,Yes,"Johnes Inc.,",Commercial,"16 Apr, 2019 11:28:21","03 Feb, 2020 06:32:51","$1,073.82",Yes,$20.62,16,4,30,14,"$4,295.28",Yes
16000022,Air bag,Lazar Mathew,P23,No,AltvetPet Inc.,Commercial,"02 May, 2019 01:27:28","24 May, 2019 05:44:28",$616.50,No,$66.41,17,22,20,18,"$13,563.00",No
16000023,Air brake nylon hose,Santa Cruz Clara,P24,No,NYC Ltd.,Commercial,"22 Oct, 2020 01:04:08","30 Mar, 2021 11:48:30",$280.04,No,$56.57,3,21,10,7,"$5,880.84",No
16000024,Air conditioning harness,Harold Pawlan,P25,Yes,MetBeat Corp,Commercial,"28 Oct, 2020 02:57:27","02 Dec, 2020 04:42:38",$498.93,Yes,$49.23,28,16,20,5,"$7,982.88",Yes
16000025,Air conditioning system (A/C),Rozario Diego,P26,No,MetBeat Corp,Commercial,"27 Jun, 2019 10:05:41","10 Nov, 2020 01:12:29",$213.98,No,$96.02,39,18,10,3,"$3,851.64",No
16000026,Air duct,Tina Thomas,P27,Yes,MetBeat Corp,Commercial,"10 Aug, 2019 01:19:06","31 Oct, 2019 09:18:18","$1,657.03",Yes,$87.87,25,2,20,11,"$3,314.06",Yes
16000027,Air freshener Broccoli,Jasmine Frank,P28,No,LexPon Inc.,Commercial,"11 Apr, 2021 12:51:48","11 Apr, 2021 02:40:56","$1,231.84",No,$98.60,17,23,20,4,"$28,332.32",No
16000028,Air fryer,Santa Cruz Clara,P29,Yes,MetBeat Corp,Commercial,"09 May, 2020 01:33:26","18 Sep, 2020 08:06:21",$646.43,No,$27.31,33,1,20,14,$646.43,Yes
16000029,Air intake housing,Roger Terrence,P30,Yes,MetBeat Corp,Commercial,"25 Dec, 2020 04:51:55","21 Feb, 2021 05:27:59","$1,009.56",Yes,$74.10,19,32,10,3,"$32,305.92",No
16000030,Air intake manifold,Tina Thomas,P31,Yes,Lamport Corp,Commercial,"14 Sep, 2020 03:36:40","09 Nov, 2020 04:01:46",$985.20,No,$31.09,31,13,20,19,"$12,807.60",Yes
16000031,Air spring,Augustine Paul,P32,Yes,MetBeat Corp,Commercial,"10 Nov, 2019 06:54:04","09 Feb, 2021 05:51:29","$1,312.26",Yes,$52.27,4,28,20,4,"$36,743.28",No
16000032,Al Mar Knives,Pete Zachariah,P33,No,AltvetPet Inc.,Commercial,"04 Nov, 2020 05:23:39","20 Dec, 2020 05:31:27","$1,165.11",Yes,$40.91,44,10,30,13,"$11,651.10",Yes
16000033,Alarm and siren,Harold Pawlan,P34,No,Lamport Corp,Commercial,"26 Apr, 2020 08:32:46","10 Feb, 2021 05:28:17",$139.65,Yes,$52.92,5,2,10,4,$279.30,Yes
16000034,Allergy,Pete Zachariah,P35,No,Lamport Corp,Commercial,"19 Sep, 2020 04:22:38","05 Feb, 2021 12:00:56",$167.00,No,$47.29,33,29,10,14,"$4,843.00",No
16000035,Almond meal,Jasmine Frank,P36,No,LexPon Inc.,Commercial,"08 Sep, 2019 10:30:37","21 Feb, 2021 06:17:48","$1,536.73",No,$73.10,21,14,20,9,"$21,514.22",Yes
16000036,Almond paste,Augustine Paul,P37,No,NYC Ltd.,Commercial,"26 Nov, 2019 05:59:47","28 Mar, 2020 11:46:50",$206.95,No,$56.12,41,37,20,18,"$7,657.15",No
16000037,Alpenstock,Rozario Diego,P38,Yes,AltvetPet Inc.,Commercial,"21 Jan, 2020 03:35:59","06 Jan, 2021 02:21:16","$1,433.88",No,$58.94,43,1,10,9,"$1,433.88",Yes
16000038,Alternator bearing,Tina Thomas,P39,No,MetBeat Corp,Commercial,"27 Sep, 2020 07:37:23","21 Dec, 2020 01:24:41","$1,917.77",Yes,$19.63,6,15,10,15,"$28,766.55",No
16000039,Alternator bracket,Harold Pawlan,P40,No,NYC Ltd.,Commercial,"24 Jan, 2021 01:58:53","23 Mar, 2021 10:37:52","$1,758.77",No,$4.89,18,27,30,14,"$47,486.79",Yes
16000040,Alternator fan,Santa Cruz Clara,P41,No,MetBeat Corp,Commercial,"22 Apr, 2019 07:53:33","14 Jul, 2020 11:11:09","$1,689.49",No,$68.60,13,27,10,13,"$45,616.23",No
16000041,Anchor,Rozario Diego,P42,No,NYC Ltd.,Commercial,"26 Dec, 2019 01:04:39","07 Mar, 2021 06:09:07","$1,380.05",No,$46.85,44,4,10,2,"$5,520.20",Yes
16000042,Antacid,Jasmine Frank,P43,No,Indiana Ltd.,Commercial,"04 Aug, 2020 05:24:18","17 Feb, 2021 03:39:23",$504.48,Yes,$73.48,5,30,30,4,"$15,134.40",No
16000043,Antenna cable,Jasmine Frank,P44,Yes,Indiana Ltd.,Commercial,"12 Aug, 2020 06:38:34","03 Oct, 2020 08:51:49",$363.30,Yes,$18.49,2,11,30,8,"$3,996.30",Yes
16000044,Antibiotic,Augustine Paul,P45,No,MetBeat Corp,Commercial,"16 May, 2019 09:38:32","02 Sep, 2020 08:19:16",$427.77,No,$42.67,1,37,20,11,"$15,827.49",No
16000045,Antidiarrheal,Pete Zachariah,P46,No,NYC Ltd.,Commercial,"03 Jan, 2021 01:38:08","31 Mar, 2021 04:25:26","$1,202.93",Yes,$46.98,35,11,30,18,"$13,232.23",Yes
16000046,Antiperspirant / Deodorant,Lazar Mathew,P47,Yes,Indiana Ltd.,Commercial,"26 Oct, 2020 12:37:03","06 Nov, 2020 05:45:33","$1,745.92",No,$74.07,37,5,30,17,"$8,729.60",Yes
16000047,Applesauce,Thomas Mondrake,P48,No,Lamport Corp,Commercial,"05 Feb, 2020 03:08:33","12 Apr, 2020 03:46:31",$962.67,Yes,$43.56,28,11,20,19,"$10,589.37",Yes
16000048,Appliance Recycling,Lazar Mathew,P49,No,LexPon Inc.,Commercial,"04 Jun, 2019 11:18:08","31 Aug, 2020 01:31:51","$1,314.59",Yes,$27.37,3,31,20,7,"$40,752.29",No
16000049,Arkalochori Axe,Pete Zachariah,P50,Yes,LexPon Inc.,Commercial,"21 Dec, 2019 03:41:12","01 Dec, 2020 06:23:36","$1,094.29",Yes,$57.01,28,3,10,1,"$3,282.87",Yes
16000050,Arsenic Berries,Lazar Mathew,P51,No,Lamport Corp,Commercial,"18 Jan, 2021 07:46:52","30 Jan, 2021 08:13:25",$668.80,No,$78.75,13,16,10,1,"$10,700.80",No
16000051,Asbestos Cherries,David Love,P52,Yes,LexPon Inc.,Commercial,"10 May, 2020 05:54:54","18 Mar, 2021 04:18:22","$1,572.95",Yes,$10.63,7,22,10,5,"$34,604.90",No
16000052,Asha 200,Harold Pawlan,P53,Yes,"Johnes Inc.,",Commercial,"02 Dec, 2019 11:14:10","15 Jan, 2021 12:52:28","$1,833.30",No,$28.74,39,38,30,7,"$69,665.40",No
16000053,Asha 201,Lazar Mathew,P54,No,MetBeat Corp,Commercial,"05 Apr, 2021 12:51:14","11 Apr, 2021 05:03:25","$1,159.79",No,$16.24,8,22,20,3,"$25,515.38",No
16000054,Asha 202,Pete Zachariah,P55,No,Lamport Corp,Pet Care,"28 Sep, 2019 09:40:39","25 Mar, 2021 08:18:46","$1,575.13",No,$0.04,4,29,20,16,"$45,678.77",No
16000055,Asha 203,Roger Terrence,P56,No,Lamport Corp,Pet Care,"18 Apr, 2019 07:37:37","08 Feb, 2021 09:25:53",$601.54,No,$56.06,14,30,30,13,"$18,046.20",No
16000056,Asha 205,Tina Thomas,P57,No,Lamport Corp,Pet Care,"21 Feb, 2020 12:26:13","11 Sep, 2020 06:16:44",$169.20,Yes,$44.25,12,29,30,15,"$4,906.80",Yes
16000057,Asha 210,Augustine Paul,P58,Yes,LexPon Inc.,Pet Care,"13 Nov, 2019 03:36:13","25 Jul, 2020 09:35:57",$256.78,No,$39.61,22,32,20,16,"$8,216.96",No
16000058,Asha 230,Jasmine Frank,P59,No,"Johnes Inc.,",Pet Care,"03 Oct, 2020 12:35:59","24 Oct, 2020 05:42:21","$1,397.07",No,$37.81,32,34,30,12,"$47,500.38",No
16000059,Asha 300,Tina Thomas,P60,No,"Johnes Inc.,",Pet Care,"10 Jan, 2021 04:21:13","16 Jan, 2021 02:51:40","$1,089.74",Yes,$11.73,47,26,30,19,"$28,333.24",Yes
16000060,Asha 302,Augustine Paul,P61,No,LexPon Inc.,Pet Care,"08 May, 2020 05:04:25","21 Feb, 2021 11:51:30","$1,922.97",No,$71.45,34,34,10,6,"$65,380.98",No
16000061,Asha 303,Tina Thomas,P62,No,AltvetPet Inc.,Pet Care,"19 Aug, 2019 02:59:41","24 Sep, 2020 06:35:57",$266.32,Yes,$52.17,26,33,20,18,"$8,788.56",No
16000062,Asha 305,Tina Thomas,P63,No,Indiana Ltd.,Pet Care,"04 Feb, 2020 09:17:56","29 Jul, 2020 07:10:49","$1,442.79",No,$75.78,1,29,30,3,"$41,840.91",Yes
16000063,Asha 306,Jasmine Frank,P64,No,MetBeat Corp,Pet Care,"04 Dec, 2020 06:13:11","27 Feb, 2021 09:26:44",$455.58,Yes,$41.45,6,18,10,5,"$8,200.44",No
16000064,Asha 308,Santa Cruz Clara,P65,Yes,Lamport Corp,Pet Care,"20 Apr, 2021 11:36:05","21 Apr, 2021 08:56:43","$1,837.18",Yes,$20.40,22,18,20,10,"$33,069.24",Yes
16000065,Asha 309,Tina Thomas,P66,No,Indiana Ltd.,Pet Care,"16 Nov, 2019 04:57:46","11 Sep, 2020 07:05:41","$1,149.88",No,$15.92,13,18,10,6,"$20,697.84",No
16000066,Asha 310,Lazar Mathew,P67,Yes,AltvetPet Inc.,Pet Care,"24 Feb, 2020 03:28:54","05 Aug, 2020 12:20:17","$1,526.66",No,$34.82,44,10,30,10,"$15,266.60",Yes
16000067,Asha 311,Rozario Diego,P68,No,"Johnes Inc.,",Pet Care,"30 Sep, 2019 02:39:50","11 Oct, 2019 02:26:16",$546.13,Yes,$27.87,21,6,10,1,"$3,276.78",Yes
16000068,Asha 500,Santa Cruz Clara,P69,No,Indiana Ltd.,Pet Care,"30 Sep, 2020 12:40:09","15 Jan, 2021 08:54:46","$1,633.25",Yes,$38.21,37,32,30,6,"$52,264.00",No
16000069,Asha 500 Dual SIM,Tina Thomas,P70,No,MetBeat Corp,Pet Care,"22 Oct, 2020 01:15:30","27 Mar, 2021 09:12:21","$1,030.17",No,$22.58,4,1,30,3,"$1,030.17",Yes
16000070,Asha 501,Tina Thomas,P71,Yes,Lamport Corp,Pet Care,"14 Apr, 2021 10:48:13","15 Apr, 2021 11:12:58",$765.77,No,$33.37,45,26,10,10,"$19,910.02",No
16000071,Asha 502 Dual SIM,Rozario Diego,P72,Yes,NYC Ltd.,Pet Care,"05 Apr, 2020 08:55:16","13 Feb, 2021 06:07:09","$1,001.93",Yes,$51.34,20,3,20,15,"$3,005.79",Yes
16000072,Asha 503,Rozario Diego,P73,Yes,NYC Ltd.,Pet Care,"05 May, 2019 10:56:54","28 Jun, 2020 07:04:50","$1,480.35",No,$39.89,10,6,10,13,"$8,882.10",Yes
16000073,Asha 503 Dual SIM,Pete Zachariah,P74,No,MetBeat Corp,Pet Care,"10 Nov, 2020 04:53:37","08 Apr, 2021 11:01:36",$639.16,No,$75.73,24,24,10,15,"$15,339.84",No
16000074,Asparagus,Jasmine Frank,P75,No,Lamport Corp,Pet Care,"25 Sep, 2020 07:05:48","12 Feb, 2021 05:12:19",$421.35,No,$63.66,44,4,30,2,"$1,685.40",Yes
16000075,Aspic,Lazar Mathew,P76,Yes,Lamport Corp,Pet Care,"13 Sep, 2019 07:27:06","29 May, 2020 03:07:10","$1,317.45",No,$41.98,3,22,20,7,"$28,983.90",No
16000076,Aspirin,David Love,P77,No,NYC Ltd.,Pet Care,"07 Mar, 2020 11:39:36","22 Jan, 2021 08:07:46",$162.48,No,$5.27,15,19,30,11,"$3,087.12",Yes
16000077,Auger (drill),Lazar Mathew,P78,Yes,Lamport Corp,Pet Care,"26 Jun, 2020 04:06:40","02 Dec, 2020 11:22:22","$1,651.85",No,$62.06,45,31,30,17,"$51,207.35",No
16000078,Automatic transmission speed sensor,Harold Pawlan,P79,No,Lamport Corp,Pet Care,"29 Sep, 2020 12:10:20","28 Dec, 2020 09:38:52","$1,265.18",Yes,$32.48,16,20,30,15,"$25,303.60",Yes
16000079,Automotive Nectarines,Augustine Paul,P80,No,NYC Ltd.,Pet Care,"03 Jan, 2020 01:37:09","27 May, 2020 04:36:56","$1,042.81",Yes,$86.85,18,34,10,6,"$35,455.54",No
16000080,Axe,Santa Cruz Clara,P81,Yes,AltvetPet Inc.,Pet Care,"07 Feb, 2021 05:06:32","07 Apr, 2021 06:23:08","$1,549.82",Yes,$62.76,47,38,20,12,"$58,893.16",No
16000081,Axe of Perun,Pete Zachariah,P82,No,LexPon Inc.,Pet Care,"07 Dec, 2020 02:12:02","01 Jan, 2021 10:16:08","$1,568.52",No,$4.69,47,24,30,1,"$37,644.48",Yes
16000082,Axle shaft,Lazar Mathew,P83,Yes,MetBeat Corp,Pet Care,"03 Oct, 2019 07:12:09","24 Jan, 2021 10:12:16","$1,018.65",No,$83.60,16,30,30,11,"$30,559.50",No
16000083,BBQ sauce,Jasmine Frank,P84,No,"Johnes Inc.,",Pet Care,"27 Jan, 2021 09:16:14","15 Apr, 2021 12:21:21","$1,918.11",Yes,$92.35,44,13,30,1,"$24,935.43",Yes
16000084,BZ-52 Radial Attachment Point,Harold Pawlan,P85,Yes,"Johnes Inc.,",Pet Care,"15 Oct, 2019 06:05:42","12 Jun, 2020 12:35:58","$1,964.90",No,$61.95,46,11,30,10,"$21,613.90",Yes
16000085,Baby food BreakfastsBeverages,Roger Terrence,P86,Yes,AltvetPet Inc.,Pet Care,"08 Apr, 2019 05:22:15","03 Dec, 2019 05:59:37","$1,709.88",No,$27.12,41,10,10,13,"$17,098.80",No
16000086,Baby wash Ice cream / Sorbet,Pete Zachariah,P87,No,NYC Ltd.,Pet Care,"17 Mar, 2020 06:48:25","01 Nov, 2020 11:55:17","$1,852.55",No,$57.24,35,24,10,7,"$44,461.20",No
16000087,Bacon / Sausage,Tina Thomas,P88,Yes,Lamport Corp,Pet Care,"07 Jan, 2020 03:20:52","14 Nov, 2020 07:21:22","$1,167.18",No,$4.15,28,20,30,11,"$23,343.60",Yes
16000088,Bagels,Rozario Diego,P89,No,NYC Ltd.,Pet Care,"11 Jul, 2019 03:22:42","19 Dec, 2019 10:24:25",$533.62,Yes,$53.45,23,10,20,4,"$5,336.20",Yes
16000089,Bagels / Croissants,Lazar Mathew,P90,Yes,MetBeat Corp,Pet Care,"20 Oct, 2019 06:46:36","08 Apr, 2021 04:24:32",$653.88,Yes,$30.90,44,22,10,18,"$14,385.36",No
16000090,Baked beans,Rozario Diego,P91,Yes,LexPon Inc.,Pet Care,"26 Aug, 2019 03:00:59","02 Jan, 2020 12:37:40","$1,335.13",No,$48.34,20,16,30,10,"$21,362.08",Yes
16000091,Bakery mix,Rozario Diego,P92,Yes,MetBeat Corp,Arts & Crafts,"08 Jul, 2019 10:56:57","08 May, 2020 10:12:34",$686.46,No,$15.23,37,39,10,2,"$26,771.94",No
16000092,Baking,Pete Zachariah,P93,Yes,"Johnes Inc.,",Arts & Crafts,"30 Nov, 2019 05:57:38","13 Dec, 2019 10:26:45",$903.92,Yes,$60.92,17,20,20,16,"$18,078.40",No
16000093,Baking powder / Soda,Lazar Mathew,P94,Yes,"Johnes Inc.,",Arts & Crafts,"07 Apr, 2019 10:09:17","11 May, 2020 01:40:25",$829.97,No,$27.85,46,38,10,6,"$31,538.86",No
16000094,Band-aids / Medical,Harold Pawlan,P95,No,MetBeat Corp,Arts & Crafts,"16 Sep, 2019 12:05:02","13 Sep, 2020 05:57:15","$1,002.84",Yes,$91.42,7,11,30,8,"$11,031.24",Yes
16000095,Barbecue,Pete Zachariah,P96,No,LexPon Inc.,Arts & Crafts,"29 Feb, 2020 07:53:45","22 Nov, 2020 05:33:55",$680.71,Yes,$51.57,7,22,10,2,"$14,975.62",No
16000096,Barbecue grill,Augustine Paul,P97,No,AltvetPet Inc.,Arts & Crafts,"13 Mar, 2020 02:46:51","09 Nov, 2020 10:42:51","$1,742.91",No,$0.75,45,14,20,6,"$24,400.74",Yes
16000097,Bark spud (tool),Harold Pawlan,P98,No,"Johnes Inc.,",Arts & Crafts,"22 Aug, 2019 09:36:23","12 Aug, 2020 01:39:00","$1,869.20",Yes,$74.23,2,37,10,11,"$69,160.40",No
16000098,Basic Jet Engine,Tina Thomas,P99,Yes,"Johnes Inc.,",Arts & Crafts,"22 Aug, 2020 07:08:05","09 Oct, 2020 05:12:07","$1,931.60",Yes,$92.34,5,11,10,7,"$21,247.60",No
16000099,Basil,Lazar Mathew,P100,No,Indiana Ltd.,Arts & Crafts,"20 Apr, 2019 03:00:45","25 Apr, 2020 08:00:11","$1,706.02",Yes,$95.60,39,9,20,7,"$15,354.18",Yes
16000100,Bath soap / Hand soap,Roger Terrence,P101,No,NYC Ltd.,Arts & Crafts,"02 Aug, 2020 04:25:50","14 Apr, 2021 03:55:08","$1,794.25",Yes,$81.16,44,24,30,6,"$43,062.00",Yes
16000101,Bathroom cleaner Carrots,Jasmine Frank,P102,Yes,AltvetPet Inc.,Arts & Crafts,"23 Oct, 2020 11:49:35","26 Oct, 2020 02:26:25","$1,860.07",No,$78.20,4,14,10,12,"$26,040.98",No
16000102,Batillum,Lazar Mathew,P103,Yes,LexPon Inc.,Arts & Crafts,"27 Sep, 2020 12:09:38","11 Feb, 2021 01:57:57","$1,661.86",No,$95.22,1,37,20,4,"$61,488.82",No
16000103,Batteries Oranges,Tina Thomas,P104,No,AltvetPet Inc.,Arts & Crafts,"26 Dec, 2020 10:17:40","11 Mar, 2021 04:29:58","$1,419.08",Yes,$85.66,31,30,30,8,"$42,572.40",No
16000104,Battery box,Lazar Mathew,P105,No,MetBeat Corp,Arts & Crafts,"26 Jul, 2019 06:22:02","20 Mar, 2021 12:57:49",$288.03,Yes,$72.83,15,10,30,8,"$2,880.30",Yes
16000105,Battery cable,Rozario Diego,P106,Yes,NYC Ltd.,Arts & Crafts,"07 Jun, 2019 03:51:43","08 Feb, 2021 03:25:31",$613.40,Yes,$6.27,11,37,20,15,"$22,695.80",No
16000106,Battery cable terminal,Pete Zachariah,P107,No,MetBeat Corp,Arts & Crafts,"01 Dec, 2019 09:07:33","18 Jan, 2020 11:14:01",$653.15,Yes,$88.74,7,12,30,15,"$7,837.80",Yes
16000107,Battery control system,Tina Thomas,P108,No,Lamport Corp,Arts & Crafts,"25 Mar, 2021 06:46:31","16 Apr, 2021 06:37:34",$681.28,No,$25.64,2,39,20,1,"$26,569.92",No
16000108,Battery plate,Lazar Mathew,P109,No,NYC Ltd.,Arts & Crafts,"29 Feb, 2020 07:40:44","29 Oct, 2020 10:02:13",$344.28,No,$95.47,32,23,30,15,"$7,918.44",Yes
16000109,Battery tray,Rozario Diego,P110,Yes,Lamport Corp,Arts & Crafts,"16 Apr, 2020 09:46:21","23 Feb, 2021 05:58:07",$857.61,No,$51.64,1,19,10,16,"$16,294.59",No
16000110,Battle axe,Roger Terrence,P111,No,"Johnes Inc.,",Arts & Crafts,"28 Mar, 2021 03:53:52","03 Apr, 2021 10:46:12",$958.66,Yes,$18.30,29,25,30,16,"$23,966.50",Yes
16000111,Beef,David Love,P112,No,LexPon Inc.,Arts & Crafts,"03 Mar, 2021 04:20:50","19 Apr, 2021 09:30:59","$1,731.97",Yes,$4.55,41,18,30,13,"$31,175.46",Yes
16000112,Beehive oven,Tina Thomas,P113,Yes,NYC Ltd.,Arts & Crafts,"02 Sep, 2019 06:45:39","01 Dec, 2019 11:01:01",$869.24,No,$31.61,28,14,30,14,"$12,169.36",Yes
16000113,Beer,Thomas Mondrake,P114,No,MetBeat Corp,Arts & Crafts,"19 Feb, 2020 12:13:43","25 Jan, 2021 05:39:43","$1,792.99",No,$73.82,40,6,20,9,"$10,757.94",Yes
16000114,Bell housing,Tina Thomas,P115,Yes,MetBeat Corp,Arts & Crafts,"11 Jul, 2020 06:17:35","18 Oct, 2020 08:59:53","$1,228.77",No,$3.38,23,34,10,3,"$41,778.18",No
16000115,Bench seat,Augustine Paul,P116,No,NYC Ltd.,Arts & Crafts,"09 Mar, 2021 05:12:09","14 Apr, 2021 05:26:24",$157.63,Yes,$87.35,37,21,20,19,"$3,310.23",No
16000116,Big Green Egg,Augustine Paul,P117,No,"Johnes Inc.,",Arts & Crafts,"22 Apr, 2019 02:04:38","24 May, 2020 05:45:49","$1,032.41",Yes,$17.49,6,34,10,4,"$35,101.94",No
16000117,Billhook,Tina Thomas,P118,No,"Johnes Inc.,",Arts & Crafts,"09 May, 2020 12:09:26","07 Oct, 2020 12:33:43",$968.59,Yes,$98.37,42,37,10,7,"$35,837.83",No
16000118,Bio fireplace,Tina Thomas,P119,Yes,LexPon Inc.,Arts & Crafts,"17 Sep, 2019 05:02:15","05 Jan, 2020 03:31:03",$494.09,Yes,$92.81,27,32,30,8,"$15,810.88",No
16000119,Bisquick,Roger Terrence,P120,Yes,"Johnes Inc.,",Arts & Crafts,"09 Dec, 2020 03:41:38","27 Dec, 2020 02:57:03","$1,143.92",Yes,$73.49,17,19,20,16,"$21,734.48",Yes
16000120,Black & Decker DustBuster,Tina Thomas,P121,No,Lamport Corp,Arts & Crafts,"17 Feb, 2021 10:33:02","05 Mar, 2021 03:45:17","$1,788.09",No,$40.33,32,29,20,8,"$51,854.61",No
16000121,Black pepper,Tina Thomas,P122,Yes,LexPon Inc.,Arts & Crafts,"11 Apr, 2021 09:39:38","19 Apr, 2021 04:31:19","$1,356.36",Yes,$25.43,49,35,10,6,"$47,472.60",No
16000122,Bleach / Detergent Cauliflower,David Love,P123,Yes,"Johnes Inc.,",Arts & Crafts,"18 Apr, 2020 04:29:38","13 Feb, 2021 10:10:03","$1,360.22",Yes,$39.36,15,19,10,16,"$25,844.18",No
16000123,Bleed nipple,Augustine Paul,P124,Yes,Indiana Ltd.,Arts & Crafts,"30 Mar, 2020 07:22:45","25 May, 2020 11:25:54","$1,308.82",Yes,$93.23,7,20,30,10,"$26,176.40",Yes
16000124,Bleu cheese,Rozario Diego,P125,No,Lamport Corp,Arts & Crafts,"17 Feb, 2021 10:17:48","03 Mar, 2021 01:46:55",$724.13,Yes,$4.12,10,2,30,9,"$1,448.26",Yes
16000125,Blu-ray player,Tina Thomas,P126,Yes,NYC Ltd.,Arts & Crafts,"21 Oct, 2020 10:52:21","27 Dec, 2020 02:21:52",$342.01,Yes,$95.16,13,11,30,17,"$3,762.11",Yes
16000126,Boat hook,Thomas Mondrake,P127,No,Indiana Ltd.,Arts & Crafts,"12 May, 2019 08:08:55","12 Dec, 2019 07:30:35","$1,002.49",Yes,$6.10,41,7,30,12,"$7,017.43",Yes
