SALESORDERID,Subject,Sales Order Owner,Status,Due Date,Sub Total,Discount,Tax,Adjustments,Grand Total,Created Time,Modified Time,Is Delayed?,Age In Days,Age Tier,,,,,,,,
21001264,ZR-48846-Brno Flat Chair (Italian Choc Brown),Thomas Mondrake,Delivered,02-07-2021 12:52,"7,769.50",716.22,727.21,0.06,"6,326",30-06-2021 07:04,01-07-2021 10:19,Yes,2,1. 0 - 60 days,,,,,,,,
21001729,ZR-48755-Barcelona Chair and Ottoman (Italian White),Augustine Paul,Delivered,02-07-2021 10:25,"6,589.79",68.41,578.34,0.04,"5,943",30-06-2021 04:03,01-07-2021 12:57,Yes,2,1. 0 - 60 days,,,,,,,,
21001236,ZR-1508415-Barcelona Loveseat (Italian White),Augustine Paul,Cancelled,02-07-2021 11:30,"9,198.29",16.73,169.99,0.43,"9,012",30-06-2021 03:36,02-07-2021 05:52,No,2,1. 0 - 60 days,,,,,,,,
21001469,ZR-49803-Barcelona Sofa (Italian White),David Love,Delivered,30-06-2021 10:01,"22,295.66","1,630.64",381.84,0.18,"20,283",30-06-2021 01:03,30-06-2021 03:51,Yes,0,1. 0 - 60 days,,,,,,,,
21000826,ZR-1507610-Wing Chair (Italian Red),Augustine Paul,Delivered,02-07-2021 04:28,733.45,17.62,66.08,0.24,650,29-06-2021 11:57,30-06-2021 11:47,Yes,3,1. 0 - 60 days,,,,,,,,
21000569,ZR-1508574-Barcellona Ottoman only (Italian Camel),Harold Pawlan,Created,01-07-2021 11:38,"16,327.34",820.31,"1,005.03",0.00,"14,502",29-06-2021 11:00,01-07-2021 07:51,Yes,2,1. 0 - 60 days,,,,,,,,
21000757,ZR-1597853-Barcelona Chair (Italian Brown),Thomas Mondrake,Delivered,02-07-2021 02:11,"18,421.87",124.96,5.37,0.46,"18,292",29-06-2021 08:53,29-06-2021 12:38,Yes,3,1. 0 - 60 days,,,,,,,,
21001182,ZR-49775-Barcelona Chair and Ottoman (Aniline White),Pete Zachariah,Delivered,02-07-2021 02:49,"9,488.28",303.74,153.68,0.14,"9,031",29-06-2021 08:29,01-07-2021 04:26,Yes,3,1. 0 - 60 days,,,,,,,,
21001677,ZR-1513227-Knoll Sofa (Italian Ivory),Rozario Diego,Created,02-07-2021 04:07,"3,184.44",293.83,183.45,0.17,"2,707",29-06-2021 06:38,01-07-2021 06:01,Yes,3,1. 0 - 60 days,,,,,,,,
21003015,ZR-1510401-Barcelona Chair and Ottoman (Italian Camel),Santa Cruz Clara,Created,30-06-2021 11:47,"30,134.30",599.82,"1,065.72",0.24,"28,469",29-06-2021 05:45,29-06-2021 08:33,Yes,1,1. 0 - 60 days,,,,,,,,
21003204,ZR-1573739-Barcelona Chair and Ottoman (Aniline Red),Roger Terrence,Created,30-06-2021 03:32,"14,560.30","1,259.02",368.46,0.18,"12,933",28-06-2021 11:53,29-06-2021 08:59,Yes,2,1. 0 - 60 days,,,,,,,,
21001808,ZR-1597792-Barcelona Chair and Ottoman (Italian White),Jasmine Frank,Cancelled,01-07-2021 08:01,"11,866.66","1,166.02",688.69,0.05,"10,012",28-06-2021 10:35,29-06-2021 07:29,No,3,1. 0 - 60 days,,,,,,,,
21001533,ZR-1542086-Barcelona Daybed (Aniline Grey  LIght walnut),Jasmine Frank,Approved,02-07-2021 01:18,"26,901.76","2,632.07","2,360.78",0.09,"21,909",28-06-2021 03:21,02-07-2021 12:07,Yes,4,1. 0 - 60 days,,,,,,,,
21000538,ZR-1567010-Barcelona Chair and Ottoman (Italian White),Tina Thomas,Approved,30-06-2021 03:29,"9,468.06",665.72,349.16,0.18,"8,453",28-06-2021 02:33,29-06-2021 03:53,Yes,2,1. 0 - 60 days,,,,,,,,
21001078,ZR-1539235-Barcelona Chair (Italian Choc Brown),Rozario Diego,Created,01-07-2021 09:11,"13,358.67",989.05,539.23,0.39,"11,830",28-06-2021 01:49,29-06-2021 05:57,Yes,3,1. 0 - 60 days,,,,,,,,
21001046,ZR-1628511-Eames Lounge Chair with Ottoman (Italian Black wit,David Love,Delivered,02-07-2021 03:25,"38,726.54","3,182.14","1,018.97",0.43,"34,525",27-06-2021 12:52,27-06-2021 04:43,Yes,5,1. 0 - 60 days,,,,,,,,
21000288,ZR-1569890-Barcelona Bench A (Italian Black),Pete Zachariah,Cancelled,30-06-2021 01:53,"14,993.44",574.96,622.95,0.47,"13,796",27-06-2021 11:54,30-06-2021 05:32,No,3,1. 0 - 60 days,,,,,,,,
21000651,ZR-1541061-Barcelona Chair (Italian Black),David Love,Delivered,03-07-2021 08:02,"14,669.66","1,068.01","1,261.83",0.17,"12,340",27-06-2021 08:24,03-07-2021 03:02,Yes,6,1. 0 - 60 days,,,,,,,,
21000062,ZR-1509410-Barcelona Chair (Aniline White),Pete Zachariah,Created,01-07-2021 01:46,"6,884.05",616.20,486.86,0.01,"5,781",27-06-2021 08:11,28-06-2021 01:37,Yes,4,1. 0 - 60 days,,,,,,,,
21002525,ZR-48784-Barcelona Loveseat (Italian Black),Rozario Diego,Delivered,28-06-2021 08:03,"20,844.29",986.80,"1,353.30",0.19,"18,504",27-06-2021 07:53,28-06-2021 08:11,Yes,1,1. 0 - 60 days,,,,,,,,
21000829,ZR-51541-Barcelona Daybed (Aniline Black),Harold Pawlan,Approved,30-06-2021 04:25,"4,892.55",446.04,379.45,0.06,"4,067",27-06-2021 01:43,27-06-2021 06:28,Yes,3,1. 0 - 60 days,,,,,,,,
21002724,ZR-1539356-Barcelona Daybed (Italian Ivory),David Love,Cancelled,02-07-2021 11:06,"1,749.38",85.22,85.30,0.14,"1,579",27-06-2021 01:07,01-07-2021 04:59,No,5,1. 0 - 60 days,,,,,,,,
21000220,ZR-1537341-Barcelona Loveseat (Vintage Copper Brown),David Love,Approved,02-07-2021 10:48,"22,555.49",462.92,"1,178.93",0.36,"20,914",26-06-2021 12:08,01-07-2021 03:20,Yes,6,1. 0 - 60 days,,,,,,,,
21001915,ZR-1510371-Barcelona Chair Frame & Straps (Italian White),Harold Pawlan,Delivered,30-06-2021 07:41,"6,310.71",227.57,341.87,0.28,"5,741",26-06-2021 06:11,28-06-2021 05:36,Yes,4,1. 0 - 60 days,,,,,,,,
21002137,ZR-1570013-Jupiter Style Side Table (White),David Love,Approved,01-07-2021 06:11,"15,209.93",651.44,49.69,0.20,"14,509",26-06-2021 05:17,01-07-2021 06:37,Yes,5,1. 0 - 60 days,,,,,,,,
21001249,ZR-1541276-Barcelona Chair (Italian Black),Rozario Diego,Created,30-06-2021 10:00,"30,211.17",229.54,923.50,0.13,"29,058",26-06-2021 05:04,27-06-2021 06:04,Yes,4,1. 0 - 60 days,,,,,,,,
21000747,ZR-1599871-MODWAY product,Tina Thomas,Delivered,01-07-2021 04:27,"17,070.03","1,574.49",473.15,0.39,"15,022",26-06-2021 04:56,27-06-2021 03:54,Yes,5,1. 0 - 60 days,,,,,,,,
21000433,ZR-1513226-Barcelona Daybed (Aniline Choc Brown),Roger Terrence,Delivered,03-07-2021 01:49,"16,048.45",194.68,579.08,0.32,"15,275",26-06-2021 01:41,01-07-2021 04:50,Yes,7,1. 0 - 60 days,,,,,,,,
21002925,ZR-1629533-Papa bear chair and ottoman (italian black),Augustine Paul,Approved,01-07-2021 06:36,"24,136.47",68.64,"1,916.38",0.45,"22,151",25-06-2021 10:21,28-06-2021 09:37,Yes,6,1. 0 - 60 days,,,,,,,,
21002391,ZR-50614-Barcelona Chair and Ottoman (Aniline Black),Pete Zachariah,Created,02-07-2021 12:08,"36,840.54",473.35,"2,361.95",0.25,"34,005",25-06-2021 07:52,27-06-2021 03:58,Yes,7,1. 0 - 60 days,,,,,,,,
21002515,ZR-48813-MODWAY product,Jasmine Frank,Created,26-06-2021 04:56,"21,972.10",225.01,"1,827.25",0.16,"19,920",25-06-2021 07:43,26-06-2021 09:27,Yes,1,1. 0 - 60 days,,,,,,,,
21001559,ZR-1598940-Eames LCW Chair (Plywood Walnut),Thomas Mondrake,Cancelled,30-06-2021 02:38,"31,669.67","2,275.52","1,008.68",0.46,"28,385",25-06-2021 06:24,30-06-2021 01:34,No,5,1. 0 - 60 days,,,,,,,,
21001505,ZR-1513409-Barcelona Chair (Italian Black),David Love,Delivered,03-07-2021 03:27,"12,475.85","1,084.51",752.13,0.21,"10,639",24-06-2021 12:42,02-07-2021 05:57,Yes,9,1. 0 - 60 days,,,,,,,,
21000354,ZR-1570043-Eames LCW Chair (Plywood Walnut),Tina Thomas,Cancelled,30-06-2021 11:16,"10,673.14",419.77,6.50,0.13,"10,247",24-06-2021 12:05,29-06-2021 05:06,No,6,1. 0 - 60 days,,,,,,,,
21002093,ZR-1628636-LC 2 Chair (aniline grey),Harold Pawlan,Cancelled,02-07-2021 01:54,"26,919.38","2,047.74",450.58,0.06,"24,421",24-06-2021 11:52,28-06-2021 03:22,No,8,1. 0 - 60 days,,,,,,,,
21002716,ZR-1567997-Barcelona Chair and Ottoman (Aniline White),Rozario Diego,Created,28-06-2021 07:09,"13,501.69",212.11,139.26,0.32,"13,150",24-06-2021 11:00,25-06-2021 06:05,Yes,4,1. 0 - 60 days,,,,,,,,
21002286,ZR-1514370-Barcelona Chair (Italian White),Santa Cruz Clara,Approved,02-07-2021 11:00,"13,702.48",108.88,418.70,0.10,"13,175",24-06-2021 10:05,01-07-2021 09:54,Yes,8,1. 0 - 60 days,,,,,,,,
21003294,ZR-1629503-Barcelona Ottoman (Italian white),Lazar Mathew,Delivered,03-07-2021 12:02,"54,739.04",269.60,437.68,0.24,"54,032",24-06-2021 08:15,01-07-2021 11:42,Yes,9,1. 0 - 60 days,,,,,,,,
21001352,ZR-1602626-Barcelona Chair (Aniline Red),David Love,Cancelled,02-07-2021 07:02,"23,728.83",383.01,352.96,0.14,"22,993",24-06-2021 07:10,30-06-2021 09:24,No,8,1. 0 - 60 days,,,,,,,,
21000835,ZR-1509352-Eames Lounge Chair with Ottoman (Italian Black wit,Pete Zachariah,Approved,03-07-2021 04:01,"15,820.71","1,316.73",266.85,0.13,"14,237",24-06-2021 06:20,01-07-2021 07:58,Yes,9,1. 0 - 60 days,,,,,,,,
21000344,ZR-50644-Shell Chair (Italian white with walnut),Harold Pawlan,Created,30-06-2021 03:50,"29,487.41",930.78,"1,079.08",0.44,"27,478",24-06-2021 06:18,29-06-2021 03:21,Yes,6,1. 0 - 60 days,,,,,,,,
21002035,ZR-1601823-LC3 Sofa (Italian White),Tina Thomas,Created,01-07-2021 06:59,"5,554.16",244.65,285.93,0.42,"5,024",24-06-2021 03:00,30-06-2021 05:19,Yes,7,1. 0 - 60 days,,,,,,,,
21000203,ZR-1630559-Eames Lounge Chair with Ottoman (Aniline Black wit,Jasmine Frank,Created,27-06-2021 07:20,"25,045.72","1,092.50","2,465.92",0.30,"21,487",23-06-2021 11:25,26-06-2021 01:41,Yes,4,1. 0 - 60 days,,,,,,,,
21000216,ZR-1539327-MODWAY product,Rozario Diego,Created,03-07-2021 01:03,"10,106.45",944.47,254.55,0.42,"8,907",23-06-2021 11:24,02-07-2021 05:30,Yes,10,1. 0 - 60 days,,,,,,,,
21000533,ZR-52538-Barcellona Ottoman only (Italian Camel),Jasmine Frank,Delivered,29-06-2021 06:26,801.07,55.32,13.83,0.08,732,23-06-2021 11:16,27-06-2021 02:30,Yes,6,1. 0 - 60 days,,,,,,,,
21001293,ZR-52687-Brno Flat Chair (Italian Choc Brown),Tina Thomas,Created,03-07-2021 11:41,"9,971.37",213.21,116.01,0.15,"9,642",23-06-2021 09:37,29-06-2021 08:01,Yes,10,1. 0 - 60 days,,,,,,,,
21000172,ZR-1510496-Brno Flat Chair (Italian Brown),Augustine Paul,Created,30-06-2021 09:52,"44,046.54","2,610.63","1,439.63",0.28,"39,996",23-06-2021 09:13,28-06-2021 01:24,Yes,7,1. 0 - 60 days,,,,,,,,
21001747,ZR-48787-Barcelona Chair (Aniline White),Jasmine Frank,Cancelled,03-07-2021 06:42,"17,051.57","1,244.26",422.83,0.49,"15,384",23-06-2021 06:15,29-06-2021 12:35,No,10,1. 0 - 60 days,,,,,,,,
21000797,ZR-54398-Barcelona Chair and Ottoman (Italian Black),Rozario Diego,Delivered,02-07-2021 02:01,"24,177.98","1,368.13","1,633.12",0.27,"21,177",23-06-2021 04:23,28-06-2021 02:34,Yes,9,1. 0 - 60 days,,,,,,,,
21000310,ZR-1599897-Barcelona Chair (Aniline Black),David Love,Delivered,29-06-2021 03:51,"7,042.17",361.68,621.42,0.06,"6,059",23-06-2021 01:57,24-06-2021 11:18,Yes,6,1. 0 - 60 days,,,,,,,,
21002126,ZR-1630436-Barcelona Chair and Ottoman (Aniline Black),Pete Zachariah,Created,01-07-2021 08:26,"13,534.85",669.51,511.59,0.24,"12,354",22-06-2021 12:54,27-06-2021 10:55,Yes,9,1. 0 - 60 days,,,,,,,,
21001537,ZR-1572991-LC3 Loveseat (Italian Black),Jasmine Frank,Approved,03-07-2021 04:21,"30,104.83",327.45,499.66,0.28,"29,278",22-06-2021 12:51,01-07-2021 02:23,Yes,11,1. 0 - 60 days,,,,,,,,
21003489,ZR-54610-Barcelona Chair (Italian Black),Rozario Diego,Cancelled,02-07-2021 09:10,"15,734.41",65.98,"1,502.77",0.34,"14,166",22-06-2021 12:44,02-07-2021 09:46,No,10,1. 0 - 60 days,,,,,,,,
21001678,ZR-53556-Replacement part,Santa Cruz Clara,Delivered,01-07-2021 11:13,"29,879.27",5.58,"1,204.63",0.07,"28,669",22-06-2021 06:12,29-06-2021 04:09,Yes,9,1. 0 - 60 days,,,,,,,,
21001495,ZR-48663-Barcelona Chair and Ottoman (Aniline Red),Jasmine Frank,Delivered,26-06-2021 10:18,"7,977.23",441.15,75.81,0.27,"7,460",22-06-2021 06:04,24-06-2021 08:52,Yes,4,1. 0 - 60 days,,,,,,,,
21000119,ZR-1597947-LC2 Sofa (Italian Black),David Love,Cancelled,03-07-2021 08:38,"3,521.63",168.78,345.53,0.32,"3,007",22-06-2021 02:37,28-06-2021 04:04,No,11,1. 0 - 60 days,,,,,,,,
21001324,ZR-1629472-LC2 Loveseat (Aniline Camel),Roger Terrence,Approved,01-07-2021 05:39,"8,846.84",515.13,796.20,0.49,"7,536",22-06-2021 01:47,29-06-2021 05:59,Yes,9,1. 0 - 60 days,,,,,,,,
21001105,ZR-1510308-Barcelona Chair (Italian Black),Harold Pawlan,Delivered,03-07-2021 05:27,"4,995.85",117.80,99.34,0.29,"4,779",21-06-2021 12:34,22-06-2021 05:10,Yes,12,1. 0 - 60 days,,,,,,,,
21001837,ZR-1542207-Barcelona Chair and Ottoman (Aniline Red),Tina Thomas,Created,26-06-2021 03:25,"4,616.89",434.41,255.02,0.45,"3,927",21-06-2021 12:20,24-06-2021 02:09,Yes,5,1. 0 - 60 days,,,,,,,,
21000776,ZR-52600-Barcelona Daybed (Italian Black),Augustine Paul,Approved,24-06-2021 09:12,"6,477.54",475.59,242.31,0.36,"5,760",21-06-2021 08:27,23-06-2021 11:05,Yes,3,1. 0 - 60 days,,,,,,,,
21000130,ZR-49655-Eames Lounge Chair with Ottoman (Aniline Black wit,David Love,Delivered,03-07-2021 09:58,"27,627.65",911.20,"1,029.96",0.49,"25,686",21-06-2021 06:43,26-06-2021 09:53,Yes,12,1. 0 - 60 days,,,,,,,,
21002212,ZR-1543138-Eames Lounge Chair with Ottoman (Italian Black wit,Tina Thomas,Approved,03-07-2021 01:56,"21,909.06","1,737.58","1,620.87",0.39,"18,551",21-06-2021 06:18,03-07-2021 05:53,Yes,12,1. 0 - 60 days,,,,,,,,
21003374,ZR-1628633-Egg Chair (Italian Black),Tina Thomas,Delivered,01-07-2021 09:43,"14,158.25",577.57,"1,353.84",0.16,"12,227",21-06-2021 05:19,25-06-2021 07:51,Yes,10,1. 0 - 60 days,,,,,,,,
21001870,ZR-1537313-Nelson bench 2 seater (Natutal),Augustine Paul,Created,01-07-2021 05:55,"5,230.22",11.20,266.72,0.30,"4,952",21-06-2021 04:09,25-06-2021 05:38,Yes,10,1. 0 - 60 days,,,,,,,,
21003314,ZR-48754-Barcelona Daybed (Aniline Camel),Jasmine Frank,Created,28-06-2021 02:38,"19,939.08","1,639.46",258.56,0.06,"18,041",21-06-2021 03:30,27-06-2021 08:25,Yes,7,1. 0 - 60 days,,,,,,,,
21003070,ZR-52660-Barcelona Chair (Italian Camel),Lazar Mathew,Approved,30-06-2021 04:50,"8,709.55",130.38,471.98,0.19,"8,107",21-06-2021 01:35,26-06-2021 10:54,Yes,9,1. 0 - 60 days,,,,,,,,
21001207,ZR-1510437-Eames Lounge Chair with Ottoman (Aniline Black wit,Jasmine Frank,Delivered,26-06-2021 08:17,"23,984.78",871.45,"1,489.41",0.08,"21,624",21-06-2021 01:28,25-06-2021 04:09,Yes,5,1. 0 - 60 days,,,,,,,,
21001838,ZR-53560-Eames Al Group Ribbed Low Back Management Chair (Italian White),Lazar Mathew,Delivered,27-06-2021 04:45,"35,769.73",827.70,"3,435.14",0.11,"31,507",20-06-2021 12:13,26-06-2021 09:28,Yes,7,1. 0 - 60 days,,,,,,,,
21001058,ZR-1544163-Barcelona Daybed (Italian Ivory  Light walnut),Tina Thomas,Delivered,28-06-2021 06:42,"25,458.73","2,233.61",155.55,0.44,"23,070",20-06-2021 11:34,22-06-2021 05:37,Yes,8,1. 0 - 60 days,,,,,,,,
21001392,ZR-48755-Eileen Grey End Table (Stainless Steel - Translucent),Harold Pawlan,Approved,02-07-2021 11:04,"20,990.27",663.04,812.37,0.14,"19,515",20-06-2021 09:59,30-06-2021 07:34,Yes,12,1. 0 - 60 days,,,,,,,,
21000307,ZR-1511486-Shell chiar (Italian ivory with walnut),Augustine Paul,Created,03-07-2021 07:43,"33,313.36",544.26,"2,020.23",0.13,"30,749",20-06-2021 09:55,22-06-2021 03:03,Yes,13,1. 0 - 60 days,,,,,,,,
21002295,ZR-1510432-Barcelona Chair (Aniline Black),Rozario Diego,Cancelled,01-07-2021 05:37,"40,899.64","2,941.25",702.26,0.13,"37,256",20-06-2021 05:58,28-06-2021 04:21,No,11,1. 0 - 60 days,,,,,,,,
21000568,ZR-49746-Barcelona Daybed (Italian Ivory),Santa Cruz Clara,Delivered,03-07-2021 05:26,"12,562.61",809.40,506.36,0.15,"11,247",20-06-2021 03:47,26-06-2021 05:30,Yes,13,1. 0 - 60 days,,,,,,,,
21000646,ZR-51603-Barcelona ottoman only (Italian White),Harold Pawlan,Created,26-06-2021 09:29,"9,847.76",854.80,295.36,0.40,"8,698",19-06-2021 06:02,22-06-2021 08:56,Yes,7,1. 0 - 60 days,,,,,,,,
21000698,ZR-50578-Barcelona Chair (Italian Red),Pete Zachariah,Created,25-06-2021 07:39,"17,540.88","1,276.70","1,680.09",0.09,"14,584",19-06-2021 06:00,19-06-2021 01:18,Yes,6,1. 0 - 60 days,,,,,,,,
21001371,ZR-51540-Barcelona Style Coffee Table (3/4 glass),David Love,Approved,24-06-2021 09:00,"14,186.94",726.00,998.47,0.47,"12,462",19-06-2021 05:53,22-06-2021 05:30,Yes,5,1. 0 - 60 days,,,,,,,,
21002988,ZR-1599803-Barcelona Chair (Aniline Ivory),Pete Zachariah,Cancelled,23-06-2021 03:19,"21,567.17",387.03,579.47,0.33,"20,601",19-06-2021 01:38,20-06-2021 04:21,No,4,1. 0 - 60 days,,,,,,,,
21001521,ZR-50609-Barcelona Chair (Aniline White),Tina Thomas,Delivered,26-06-2021 02:04,"2,195.64",19.00,152.80,0.15,"2,024",18-06-2021 10:29,23-06-2021 03:35,Yes,8,1. 0 - 60 days,,,,,,,,
21002857,ZR-1759-Barcelona Chair (Italian Ivory),Tina Thomas,Approved,27-06-2021 04:15,"36,300.20","1,912.02","2,217.54",0.36,"32,171",18-06-2021 07:23,26-06-2021 06:12,Yes,9,1. 0 - 60 days,,,,,,,,
21002459,ZR-1571940-Barcelona Chair (Italian Brown),Tina Thomas,Delivered,26-06-2021 08:59,"18,362.08",306.75,"1,525.22",0.11,"16,530",18-06-2021 05:56,21-06-2021 01:47,Yes,8,1. 0 - 60 days,,,,,,,,
21003404,ZR-50767-Arco Floor Base (Stainless Steel-Marble in White),Jasmine Frank,Cancelled,29-06-2021 08:42,"5,423.04",459.83,136.34,0.13,"4,827",18-06-2021 01:45,21-06-2021 06:48,No,11,1. 0 - 60 days,,,,,,,,
21001135,ZR-1571998-Ball Chair (Glossy White/fabric red),Santa Cruz Clara,Delivered,21-06-2021 08:06,"16,268.30","1,456.10",132.96,0.23,"14,679",17-06-2021 12:09,17-06-2021 08:33,Yes,4,1. 0 - 60 days,,,,,,,,
21002656,ZR-50646-Barcelona Chair and Ottoman (Italian Black),Lazar Mathew,Approved,29-06-2021 03:54,"26,036.10","1,242.71","1,463.33",0.06,"23,330",17-06-2021 11:48,20-06-2021 02:23,Yes,12,1. 0 - 60 days,,,,,,,,
21002410,ZR-1571007-Barcelona Chair (Aniline Ivory),Harold Pawlan,Delivered,30-06-2021 03:41,"39,444.10","3,887.27",260.06,0.23,"35,297",17-06-2021 09:02,29-06-2021 08:52,Yes,13,1. 0 - 60 days,,,,,,,,
21000484,ZR-1569888-Barcelona Sofa (Italian Black),Roger Terrence,Delivered,30-06-2021 06:34,"22,915.88","1,707.47","1,119.51",0.11,"20,089",17-06-2021 04:54,25-06-2021 01:44,Yes,13,1. 0 - 60 days,,,,,,,,
21002845,ZR-1627642-Barcelona Chair (Italian Black),Augustine Paul,Delivered,23-06-2021 08:59,"21,742.52","2,166.26","1,606.45",0.19,"17,970",17-06-2021 04:32,22-06-2021 03:16,Yes,6,1. 0 - 60 days,,,,,,,,
21001482,ZR-54519-Eames Lounge Chair with Ottoman (Aniline Black wit,Lazar Mathew,Created,23-06-2021 08:23,"13,101.54",46.78,703.74,0.02,"12,351",17-06-2021 04:10,19-06-2021 11:57,Yes,6,1. 0 - 60 days,,,,,,,,
21000554,ZR-54424-Barcelona ottoman (Italian Black),Santa Cruz Clara,Approved,30-06-2021 07:39,"23,021.08",61.71,"2,299.45",0.07,"20,660",17-06-2021 02:07,30-06-2021 06:01,Yes,13,1. 0 - 60 days,,,,,,,,
21001739,ZR-48786-Barcelona Chair and Ottoman (Italian Camel),Santa Cruz Clara,Cancelled,01-07-2021 04:08,"24,132.05","1,032.23",590.57,0.24,"22,509",16-06-2021 12:11,01-07-2021 01:25,No,15,1. 0 - 60 days,,,,,,,,
21001257,ZR-1511460-Barcelona Chair (Italian Choc Brown),David Love,Approved,03-07-2021 11:57,"3,897.75",245.97,30.22,0.44,"3,622",16-06-2021 11:10,03-07-2021 10:39,Yes,17,1. 0 - 60 days,,,,,,,,
