ACCOUNTID,Account Name,Account Owner Id,Account Owner,Account Type,Industry,Website,Tasks Involved,Events Involved,Calls Involved,Activities Involved
25,Music Den,1001,Rozario Diego,Customer,Consulting,BurmaBeach.com,Yes,Yes,No,Yes
26,Waccamaw Pottery,1002,Santa Cruz Clara,Prospect,Service Provider,HaveNeeds.com,No,No,No,No
27,Albers Super Markets,1007,David Love,Prospect,Pharma,UniversalNewsletter.com,Yes,Yes,No,Yes
28,Shabby Chic,1011,Tina Thomas,Customer,Communications,BashBlog.com,No,No,No,No
29,First Choice Yard Help,1002,Santa Cruz Clara,Prospect,Education,TrashyTrends.com,Yes,No,No,Yes
30,Witmark,1008,Roger Terrence,Prospect,Communications,DieselCleaner.com,Yes,Yes,No,Yes
31,Chatham,1010,Augustine Paul,Customer,Pharma,NotebookLive.com,No,No,No,No
32,Movie Gallery,1002,Santa Cruz Clara,Customer,IT Services,GroupTraffic.com,No,No,No,No
33,Laura Ashley Mother & Child,1003,Lazar Mathew,Customer,Pharma,SoldierNews.com,Yes,No,No,Yes
34,Destiny Realty Solutions,1007,David Love,Customer,IT Services,HurricanePlane.com,Yes,Yes,No,Yes
35,Corpbay,1010,Augustine Paul,Prospect,IT Services,SatelliteSeeker.com,No,No,No,No
36,Body Fate,1002,Santa Cruz Clara,Prospect,Pharma,MaleOasis.com,No,No,No,No
37,Twin Food Stores,1004,Pete Zachariah,Customer,IT Services,CapCams.com,No,No,No,No
38,Computer City,1003,Lazar Mathew,Customer,Consulting,LockMovie.com,No,No,No,No
39,Hit or Miss,1004,Pete Zachariah,Prospect,Government/Military,MommyVentures.com,No,No,No,No
40,Perisolution,1007,David Love,Customer,Financial Services,MobileResumes.com,Yes,No,No,Yes
41,Signa Air,1011,Tina Thomas,Customer,Communications,VoiceOptics.com,Yes,Yes,No,Yes
42,National Lumber,1010,Augustine Paul,Prospect,Financial Services,RagingGaming.com,Yes,No,No,Yes
43,Old America Stores,1005,Jasmine Frank,Customer,Pharma,BikeCommunication.com,Yes,No,No,Yes
44,Matrix Interior Design,1001,Rozario Diego,Customer,Consulting,CustomizedRugs.com,No,No,No,No
45,World of Fun,1003,Lazar Mathew,Customer,Financial Services,PartyMonthly.com,No,No,No,No
46,Cut Rite,1009,Thomas Mondrake,Prospect,IT Services,BizFlippers.com,Yes,Yes,Yes,Yes
47,Vibrant Man,1002,Santa Cruz Clara,Customer,Pharma,SanDiegoFuneralHome.com,No,No,No,No
48,Crafts & More,1005,Jasmine Frank,Prospect,Government/Military,GuysGoneWired.com,No,No,No,No
49,Heslop's,1011,Tina Thomas,Prospect,Communications,DollarPubs.com,Yes,Yes,No,Yes
50,Rink's,1011,Tina Thomas,Prospect,Communications,ReturnReview.com,Yes,No,No,Yes
51,Gantos,1005,Jasmine Frank,Prospect,Service Provider,TrustyToys.com,Yes,Yes,No,Yes
52,Friendly Advice,1008,Roger Terrence,Prospect,Service Provider,HardwareAffiliates.com,No,No,No,No
53,Plan Future,1011,Tina Thomas,Customer,Education,SweatBag.com,Yes,No,Yes,Yes
54,Western Auto,1001,Rozario Diego,Prospect,Consulting,PenaltyGuide.com,No,No,No,No
55,Sherman's,1007,David Love,Prospect,Consulting,NotebookEssentials.com,No,No,No,No
56,Joshua Doore,1006,Harold Pawlan,Prospect,Technology,MyJockey.com,Yes,Yes,No,Yes
57,Thom McAn Store,1001,Rozario Diego,Prospect,IT Services,MathSymposium.com,Yes,Yes,No,Yes
58,Hamady Bros. Supermarkets,1004,Pete Zachariah,Customer,Manufacturing,JournalStandards.com,No,No,No,No
59,Witmark,1007,David Love,Customer,Service Provider,RetroDivas.com,Yes,Yes,No,Yes
60,Landskip Yard Care,1002,Santa Cruz Clara,Prospect,Service Provider,GadgetOrder.com,No,No,No,No
61,Woolf Brothers,1011,Tina Thomas,Prospect,IT Services,ReplicaIrons.com,Yes,Yes,Yes,Yes
62,Endicott Johnson,1006,Harold Pawlan,Prospect,Government/Military,KidzBoard.com,No,No,No,No
63,Intelacard,1004,Pete Zachariah,Prospect,Financial Services,BuildPhone.com,Yes,No,No,Yes
64,Platinum Interior Design,1002,Santa Cruz Clara,Customer,Service Provider,iTendency.com,Yes,Yes,No,Yes
65,Museum Company,1001,Rozario Diego,Customer,Consulting,NameRecipe.com,No,No,No,No
66,Scotty's Builders Supply,1002,Santa Cruz Clara,Customer,Service Provider,HealthRent.com,Yes,Yes,No,Yes
67,Chandler's,1004,Pete Zachariah,Prospect,Pharma,LocalLots.com,No,No,No,No
68,Federated Group,1005,Jasmine Frank,Prospect,Education,OldTowels.com,No,No,No,No
69,Gold Leaf Garden Management,1005,Jasmine Frank,Prospect,Financial Services,CentralBets.com,Yes,No,No,Yes
70,The Spotted Cougar,1008,Roger Terrence,Customer,Technology,GrabThe.com,No,No,No,No
71,Super Place,1001,Rozario Diego,Prospect,Government/Military,WikiFinder.com,Yes,Yes,No,Yes
72,One-Up Realtors,1004,Pete Zachariah,Prospect,Education,DonorRecruiter.com,Yes,No,No,Yes
73,Magik Lamp,1006,Harold Pawlan,Customer,Communications,RacingSheet.com,No,No,No,No
74,Monmax,1005,Jasmine Frank,Prospect,Government/Military,TuxedoFitting.com,No,No,No,No
75,Johnson's General Stores,1005,Jasmine Frank,Prospect,IT Services,PunkExpo.com,No,No,No,No
76,Cuppy's Coffee,1009,Thomas Mondrake,Customer,Service Provider,TravelLesson.com,No,No,No,No
77,L' Fish,1002,Santa Cruz Clara,Customer,Communications,DirectoryRobot.com,No,No,No,No
78,Club Wholesale,1007,David Love,Prospect,IT Services,ExtraSheets.com,No,No,No,No
79,TheBottomHalf,1002,Santa Cruz Clara,Prospect,Financial Services,LuxuryCuts.com,Yes,No,No,Yes
80,Warner Brothers Studio Store,1002,Santa Cruz Clara,Customer,Education,DesertCookies.com,No,No,No,No
81,Dubrow's Cafeteria,1007,David Love,Customer,Service Provider,Cinebucks.com,Yes,Yes,No,Yes
82,KG Menswear,1007,David Love,Prospect,Service Provider,TicketAge.com,No,No,No,No
83,Kessel Food Market,1009,Thomas Mondrake,Prospect,Technology,CoachingBuilder.com,Yes,No,No,Yes
84,Pergament Home Centers,1006,Harold Pawlan,Prospect,Government/Military,AffordableHandbag.com,No,No,No,No
85,Brooks Fashions,1007,David Love,Customer,Government/Military,TractorSpecials.com,Yes,No,No,Yes
86,New World,1004,Pete Zachariah,Customer,Education,SolutionBranding.com,No,No,No,No
87,FlowerTime,1001,Rozario Diego,Prospect,Technology,ResumePhoto.com,Yes,No,No,Yes
88,Golf Augusta Pro Shops,1008,Roger Terrence,Customer,Manufacturing,PoliticalMart.com,No,No,No,No
89,Rex Audio Video Appliance,1008,Roger Terrence,Prospect,Consulting,StagTrips.com,Yes,No,No,Yes
90,Jack Lang,1008,Roger Terrence,Customer,Pharma,CallingWireless.com,No,No,No,No
91,Asian Solutions,1009,Thomas Mondrake,Customer,Financial Services,SeeFonts.com,No,No,No,No
92,Body Toning,1007,David Love,Customer,IT Services,BasicFM.com,Yes,Yes,No,Yes
93,Kiddie City,1002,Santa Cruz Clara,Customer,IT Services,LargeSalad.com,No,No,No,No
94,Hughes Markets,1002,Santa Cruz Clara,Customer,Communications,CropWizard.com,Yes,Yes,No,Yes
95,Gamma Gas,1009,Thomas Mondrake,Customer,Manufacturing,LocalCarpets.com,No,No,No,No
96,K&G Distributors,1003,Lazar Mathew,Customer,Pharma,RevenueBased.com,Yes,Yes,No,Yes
97,Advansed Teksyztems,1004,Pete Zachariah,Customer,Consulting,ProgramWare.com,Yes,No,No,Yes
98,Chase Pitkin,1001,Rozario Diego,Customer,Consulting,AntiquesInvestors.com,Yes,Yes,No,Yes
99,Keeney's,1007,David Love,Customer,Technology,DialMortgage.com,Yes,No,Yes,Yes
100,Superior Appraisals,1008,Roger Terrence,Prospect,Financial Services,TallTide.com,Yes,No,No,Yes
101,Gold Medal,1008,Roger Terrence,Customer,Government/Military,PlatinumTalk.com,No,No,No,No
102,Asian Solutions,1007,David Love,Prospect,Service Provider,RomanceBar.com,Yes,Yes,No,Yes
103,K&G Distributors,1001,Rozario Diego,Prospect,Pharma,PokerVenture.com,No,No,No,No
104,Platinum Interior Design,1003,Lazar Mathew,Customer,Service Provider,FirstMedications.com,Yes,Yes,No,Yes
105,Angel's,1001,Rozario Diego,Prospect,IT Services,AndroidZoo.com,No,No,No,No
106,Crafts Canada,1006,Harold Pawlan,Prospect,Education,BingoLesson.com,Yes,Yes,No,Yes
107,Castro Convertibles,1011,Tina Thomas,Prospect,Service Provider,NextBroadcast.com,Yes,No,No,Yes
108,Success Is Yours,1002,Santa Cruz Clara,Prospect,Technology,LoanRestoration.com,No,No,No,No
109,Great American Music,1002,Santa Cruz Clara,Customer,Technology,DomainDue.com,Yes,Yes,No,Yes
110,Powerbod,1002,Santa Cruz Clara,Prospect,Service Provider,JerkMove.com,Yes,Yes,No,Yes
111,Great American Music,1004,Pete Zachariah,Prospect,Communications,TractorSpecials.com,No,No,No,No
112,Weingarten's,1008,Roger Terrence,Prospect,Pharma,OpenJacket.com,No,No,No,No
113,Ellman's Catalog Showrooms,1008,Roger Terrence,Customer,Pharma,MicroLists.com,Yes,No,Yes,Yes
114,Shoe Pavilion,1002,Santa Cruz Clara,Prospect,Education,BronzeElephant.com,Yes,Yes,Yes,Yes
115,Asiatic Solutions,1003,Lazar Mathew,Prospect,Consulting,EmailRemedy.com,Yes,No,No,Yes
116,The Wiz,1004,Pete Zachariah,Prospect,Consulting,DivxLocator.com,No,No,No,No
117,Solution Answers,1005,Jasmine Frank,Prospect,Consulting,GroupRules.com,Yes,No,Yes,Yes
118,Roadhouse Grill,1003,Lazar Mathew,Customer,Pharma,LitigationLocator.com,No,No,No,No
119,Gamble-Skogmo,1011,Tina Thomas,Customer,Government/Military,CollegeBasketballAnalyst.com,No,No,No,No
120,Wealth Zone Group,1002,Santa Cruz Clara,Customer,Consulting,MarriageAids.com,No,No,No,No
121,Atlas Architectural Designs,1010,Augustine Paul,Prospect,Communications,Forensics101.com,No,No,No,No
122,Great Clothes,1009,Thomas Mondrake,Customer,Education,CreditAutomatic.com,Yes,No,No,Yes
123,Joseph Magnin,1008,Roger Terrence,Prospect,Financial Services,GamblingDivas.com,No,No,No,No
124,Red Robin Stores,1001,Rozario Diego,Prospect,Government/Military,LuxuryChicks.com,No,No,No,No
125,EXPO Design Center,1011,Tina Thomas,Prospect,Government/Military,FabulousThemes.com,No,No,No,No
126,Crafts & More,1005,Jasmine Frank,Customer,Pharma,MarketCities.com,No,No,No,No
127,Warehouse Club Inc.,1003,Lazar Mathew,Prospect,Communications,SystemReseller.com,Yes,No,No,Yes
128,Strong Life,1003,Lazar Mathew,Prospect,Communications,GreenVerification.com,No,No,No,No
129,Pergament Home Centers,1006,Harold Pawlan,Customer,IT Services,AffinityClicks.com,Yes,No,No,Yes
130,K&G Distributors,1009,Thomas Mondrake,Prospect,Communications,BingoPublishing.com,Yes,Yes,No,Yes
131,Furrow's,1011,Tina Thomas,Prospect,Pharma,AmazingScene.com,No,No,No,No
132,Tam's Stationers,1003,Lazar Mathew,Prospect,IT Services,FavoriteNewspaper.com,No,No,No,No
133,Target Source,1005,Jasmine Frank,Prospect,Consulting,WeightlossHelpline.com,No,No,No,No
134,Big Star Markets,1001,Rozario Diego,Customer,Service Provider,AvailableReports.com,No,No,No,No
135,Rickel,1005,Jasmine Frank,Customer,Financial Services,RedAccount.com,No,No,No,No
136,Fedco,1005,Jasmine Frank,Prospect,Pharma,MegaWeddings.com,No,No,No,No
137,Northern Reflections,1006,Harold Pawlan,Customer,Government/Military,MultipleInjuries.com,No,No,No,No
138,Thorofare,1004,Pete Zachariah,Customer,Communications,InsuranceStats.com,Yes,Yes,No,Yes
139,Listenin' Booth,1006,Harold Pawlan,Customer,Government/Military,DualJobs.com,Yes,No,No,Yes
140,Profitpros,1008,Roger Terrence,Prospect,Government/Military,BuySwedish.com,No,No,No,No
141,Grodins,1005,Jasmine Frank,Prospect,Education,StagTrips.com,No,No,No,No
142,Castle Realty,1010,Augustine Paul,Customer,Pharma,WealthSales.com,No,No,No,No
143,Franklin Music,1004,Pete Zachariah,Customer,Government/Military,StarterCaps.com,No,No,No,No
144,Fedco,1002,Santa Cruz Clara,Prospect,Service Provider,CheapCabinetry.com,Yes,No,No,Yes
145,Big Star Markets,1011,Tina Thomas,Customer,Manufacturing,CelebrityKaraoke.com,Yes,No,Yes,Yes
146,Brown Derby,1006,Harold Pawlan,Prospect,Government/Military,DeluxeReservations.com,No,No,No,No
147,Alpha Beta,1006,Harold Pawlan,Prospect,Communications,RoundBlog.com,Yes,Yes,No,Yes
148,Prahject Planner,1005,Jasmine Frank,Customer,Government/Military,PoolCrashers.com,Yes,No,Yes,Yes
149,Belle Ladi,1009,Thomas Mondrake,Customer,Manufacturing,TechnologyBlogging.com,Yes,Yes,No,Yes
150,Quest Technology Service,1006,Harold Pawlan,Customer,Manufacturing,Poqar.com,Yes,No,No,Yes
151,Showbiz Pizza Place,1006,Harold Pawlan,Customer,Service Provider,SchoolsPrivate.com,No,No,No,No
152,Stratagee,1007,David Love,Customer,Communications,KeywordPortfolios.com,No,No,No,No
153,Earthworks Garden Kare,1004,Pete Zachariah,Customer,Government/Military,PharmaTag.com,Yes,No,No,Yes
154,Morville,1003,Lazar Mathew,Customer,Financial Services,SocietyMagazines.com,No,No,No,No
155,The Independent Planners,1008,Roger Terrence,Prospect,Technology,BroadcastTower.com,No,No,No,No
156,Harvest Foods,1003,Lazar Mathew,Prospect,Service Provider,AntiFriends.com,No,No,No,No
157,Record & Tape Outlet,1007,David Love,Customer,Education,SnapLender.com,No,No,No,No
158,Huyler's,1010,Augustine Paul,Prospect,Education,SolidMeds.com,No,No,No,No
159,Laneco,1006,Harold Pawlan,Prospect,Financial Services,GrabThe.com,Yes,No,No,Yes
160,The Flying Bear,1002,Santa Cruz Clara,Prospect,IT Services,LunchLookup.com,No,No,No,No
161,Earthworks Garden Kare,1008,Roger Terrence,Prospect,Communications,ParisBasketball.com,Yes,Yes,No,Yes
162,L' Fish,1006,Harold Pawlan,Prospect,Consulting,FastFoodSupply.com,No,No,No,No
163,Monk Home Funding Services,1004,Pete Zachariah,Customer,Consulting,TalkEditor.com,Yes,No,No,Yes
164,Chargepal,1001,Rozario Diego,Prospect,Financial Services,SearchHappens.com,Yes,Yes,No,Yes
165,Disc Jockey,1006,Harold Pawlan,Customer,Financial Services,WorthShow.com,No,No,No,No
166,Evans,1008,Roger Terrence,Prospect,Technology,MetroAvenue.com,Yes,No,No,Yes
167,Independent Wealth Management,1005,Jasmine Frank,Prospect,Education,GamingCruises.com,Yes,No,No,Yes
168,WWW Realty,1001,Rozario Diego,Prospect,Financial Services,BankingAnalytics.com,No,No,No,No
169,Tape World,1001,Rozario Diego,Customer,Financial Services,ReleaseReport.com,No,No,No,No
170,Robinson Furniture,1011,Tina Thomas,Prospect,Manufacturing,OpenSubmissions.com,No,No,No,No
171,Capitalcorp,1008,Roger Terrence,Prospect,IT Services,TechDetect.com,No,No,No,No
172,LaBelle's,1005,Jasmine Frank,Customer,Education,RoseSpecialist.com,Yes,Yes,No,Yes
173,Johnson's General Stores,1009,Thomas Mondrake,Customer,Service Provider,CoSnap.com,No,No,No,No
174,Powerbod,1011,Tina Thomas,Prospect,Manufacturing,MissionStudent.com,Yes,Yes,No,Yes
175,Circuit City,1007,David Love,Customer,Financial Services,LargeShow.com,No,No,No,No
176,Magna Wealth,1009,Thomas Mondrake,Prospect,IT Services,MacroMessaging.com,Yes,Yes,No,Yes
177,Just For Fun,1006,Harold Pawlan,Prospect,Consulting,CrazyCaptions.com,No,No,No,No
178,Official All Star CafÌ©,1001,Rozario Diego,Customer,IT Services,MentorSelf.com,No,No,No,No
179,Hughes Markets,1002,Santa Cruz Clara,Prospect,Manufacturing,RankInsider.com,Yes,No,No,Yes
180,Cougar Investment,1003,Lazar Mathew,Customer,Government/Military,FetchStats.com,No,No,No,No
181,Kelly and Cohen,1006,Harold Pawlan,Customer,Service Provider,MetaLocator.com,Yes,Yes,No,Yes
182,Sofa Express,1007,David Love,Customer,Communications,CurtainSheets.com,Yes,Yes,No,Yes
183,STM Auto Parts,1010,Augustine Paul,Prospect,Service Provider,FluAuthority.com,No,No,No,No
184,Tech Hifi,1009,Thomas Mondrake,Customer,Manufacturing,LocalSunglasses.com,No,No,No,No
185,MacMarr Stores,1010,Augustine Paul,Customer,Consulting,RecruitingBlitz.com,No,No,No,No
186,Sound Advice,1006,Harold Pawlan,Customer,Technology,CoalExpert.com,Yes,Yes,No,Yes
187,Rivera Property Maintenance,1011,Tina Thomas,Customer,Consulting,GunMonthly.com,Yes,No,No,Yes
188,Destiny Realty,1006,Harold Pawlan,Prospect,Education,OpenProtection.com,No,No,No,No
189,Simply Appraisals,1005,Jasmine Frank,Customer,Manufacturing,BoardRank.com,Yes,No,No,Yes
190,Garden Guru,1006,Harold Pawlan,Customer,Pharma,WindRating.com,Yes,Yes,No,Yes
191,Media Play,1010,Augustine Paul,Prospect,Service Provider,ValueParty.com,No,No,No,No
192,Peaches,1003,Lazar Mathew,Prospect,Manufacturing,ProvidenceCasino.com,No,No,No,No
193,Colonial Stores,1001,Rozario Diego,Prospect,Service Provider,CardFortune.com,Yes,No,Yes,Yes
194,Knockout Kickboxing,1010,Augustine Paul,Customer,Technology,TelephonePost.com,Yes,No,No,Yes
195,Flagg Bros. Shoes,1008,Roger Terrence,Prospect,Communications,HitPatrol.com,Yes,No,No,Yes
196,Complete Tech,1004,Pete Zachariah,Customer,Education,LeaseSyndicate.com,Yes,No,No,Yes
197,MVP Sports,1011,Tina Thomas,Prospect,Service Provider,ProductBoost.com,No,No,No,No
198,Thom McAn Store,1003,Lazar Mathew,Customer,Education,AffiliateLoyalty.com,Yes,No,Yes,Yes
199,Bennett Brothers,1002,Santa Cruz Clara,Customer,IT Services,WomenInsider.com,No,No,No,No
200,House of Gas,1009,Thomas Mondrake,Customer,Consulting,YardHomes.com,Yes,No,No,Yes
201,Pak and Save,1001,Rozario Diego,Customer,Technology,SampleLeads.com,Yes,Yes,No,Yes
202,Sports Unlimited,1001,Rozario Diego,Prospect,Consulting,SpaceSkin.com,Yes,Yes,No,Yes
203,Jay Jacobs,1004,Pete Zachariah,Prospect,Government/Military,ScrapWorm.com,No,No,No,No
204,Locost Accessories,1001,Rozario Diego,Prospect,Service Provider,ChatAnalyst.com,No,No,No,No
205,Paul's Food Mart,1004,Pete Zachariah,Prospect,Service Provider,TurkeyPizza.com,No,No,No,No
206,Olson Electronics,1009,Thomas Mondrake,Prospect,Pharma,VivaHoliday.com,Yes,No,No,Yes
207,E-zhe Source,1004,Pete Zachariah,Customer,Government/Military,ManufacturingInsider.com,Yes,Yes,No,Yes
208,Maurice The Pants Man,1002,Santa Cruz Clara,Prospect,Service Provider,FoxMorning.com,No,No,No,No
209,Richman Brothers,1010,Augustine Paul,Customer,Manufacturing,DataFormula.com,Yes,No,No,Yes
210,Magik Gray,1005,Jasmine Frank,Prospect,Pharma,BottleSearch.com,No,No,No,No
211,Purity,1006,Harold Pawlan,Prospect,Consulting,TrainingCamera.com,No,No,No,No
212,The Jolly Farmer,1005,Jasmine Frank,Customer,Pharma,PainBasics.com,No,No,No,No
213,Big Bear Stores,1006,Harold Pawlan,Customer,Consulting,LinkLesson.com,No,No,No,No
214,Edwards,1003,Lazar Mathew,Prospect,Consulting,PsychiatristsOnline.com,Yes,No,No,Yes
215,Creative Wealth Management,1004,Pete Zachariah,Prospect,Communications,WildDorm.com,No,No,No,No
216,Blockbuster Music,1009,Thomas Mondrake,Customer,Technology,WirelessTechies.com,Yes,No,No,Yes
217,Mars Music,1004,Pete Zachariah,Prospect,Consulting,CPASpecialist.com,Yes,Yes,No,Yes
218,Realty Depot,1009,Thomas Mondrake,Prospect,Communications,DirectionTracker.com,Yes,Yes,No,Yes
219,Gold Medal,1008,Roger Terrence,Prospect,Financial Services,ConnectRV.com,Yes,Yes,No,Yes
220,Webcom Business Services,1004,Pete Zachariah,Customer,Education,VoicemailCampaign.com,Yes,Yes,No,Yes
221,Chase Pitkin,1001,Rozario Diego,Prospect,Service Provider,BarMitzvahCoach.com,No,No,No,No
222,First Choice Garden Maintenance,1003,Lazar Mathew,Prospect,Consulting,BaldSociety.com,Yes,No,No,Yes
223,A+ Investments,1011,Tina Thomas,Customer,Manufacturing,iTendency.com,Yes,Yes,No,Yes
224,Simply Appraisals,1002,Santa Cruz Clara,Prospect,Consulting,SouthernRedneck.com,Yes,Yes,No,Yes
225,Stratabiz,1003,Lazar Mathew,Prospect,Manufacturing,PureLie.com,Yes,Yes,No,Yes
226,Destiny Planners,1004,Pete Zachariah,Prospect,Technology,TanGoddess.com,No,No,No,No
227,Colonial Stores,1003,Lazar Mathew,Customer,IT Services,EndlessMiles.com,Yes,Yes,No,Yes
228,Mikro Designs,1005,Jasmine Frank,Prospect,Financial Services,MedicationSwap.com,No,No,No,No
229,Datacorp,1006,Harold Pawlan,Customer,Communications,ReportMobile.com,No,No,No,No
230,Bodega Club,1009,Thomas Mondrake,Prospect,Communications,PagerSales.com,No,No,No,No
231,Destiny Planners,1001,Rozario Diego,Prospect,IT Services,BloggerDirect.com,Yes,No,No,Yes
232,Lawn N' Order Garden Care,1010,Augustine Paul,Customer,Government/Military,TextAccident.com,No,No,No,No
233,Adaptas,1002,Santa Cruz Clara,Customer,Service Provider,SurvivalJob.com,No,No,No,No
234,Landskip Yard Care,1011,Tina Thomas,Customer,Government/Military,WholePrices.com,No,No,No,No
235,Geri's Hamburgers,1004,Pete Zachariah,Customer,Technology,CellPromotions.com,No,No,No,No
236,Fisher Foods,1004,Pete Zachariah,Customer,Education,MiningOperator.com,Yes,Yes,No,Yes
237,Acuserv,1010,Augustine Paul,Prospect,Communications,BlogRetreat.com,Yes,No,No,Yes
238,Life Plan Counselling,1005,Jasmine Frank,Customer,Financial Services,LawnCovers.com,No,No,No,No
239,Multi Tech Development,1008,Roger Terrence,Customer,Consulting,OldArena.com,Yes,Yes,No,Yes
240,Merry-Go-Round,1004,Pete Zachariah,Customer,Consulting,CartridgeBargains.com,Yes,Yes,No,Yes
241,Mission G,1010,Augustine Paul,Customer,Education,MobileHobby.com,No,No,No,No
242,Britling Cafeterias,1007,David Love,Prospect,Pharma,ThatRoad.com,No,No,No,No
243,First Rate Choice,1001,Rozario Diego,Prospect,Education,LocalBilliards.com,Yes,No,No,Yes
244,Magna Gases,1011,Tina Thomas,Customer,Consulting,FaqExchange.com,No,No,No,No
245,Environ Architectural Design,1006,Harold Pawlan,Customer,Technology,TreeShopping.com,No,No,No,No
246,Vinyl Fever,1001,Rozario Diego,Prospect,IT Services,TideClub.com,Yes,Yes,No,Yes
247,Pro Yard Services,1010,Augustine Paul,Prospect,Service Provider,IdahoInsuranceAgents.com,No,No,No,No
248,Life Map,1008,Roger Terrence,Prospect,Pharma,WebSocialite.com,No,No,No,No
249,National Record Mart,1010,Augustine Paul,Prospect,Financial Services,PokerTrac.com,No,No,No,No
250,Gottschalks,1002,Santa Cruz Clara,Prospect,Government/Military,VoiceSeek.com,No,No,No,No
251,Square Circle,1008,Roger Terrence,Prospect,Manufacturing,MassAdvertisement.com,No,No,No,No
252,Wholesale Club Inc.,1008,Roger Terrence,Prospect,Education,EqualForum.com,No,No,No,No
253,Poore Simon's,1009,Thomas Mondrake,Customer,IT Services,MindImplant.com,Yes,No,Yes,Yes
254,Luskin's,1001,Rozario Diego,Prospect,Service Provider,PopMoves.com,No,No,No,No
255,Century House,1008,Roger Terrence,Prospect,Communications,ToyPulse.com,No,No,No,No
256,Giant Open Air,1011,Tina Thomas,Prospect,Service Provider,RentShow.com,No,No,No,No
257,Standard Food,1002,Santa Cruz Clara,Prospect,Government/Military,ShadowDrops.com,Yes,Yes,No,Yes
258,Block Distributors,1006,Harold Pawlan,Customer,Education,BeachBenefit.com,Yes,No,No,Yes
259,Steinberg's,1001,Rozario Diego,Customer,Pharma,CartRepairs.com,Yes,Yes,No,Yes
260,Huffman and Boyle,1003,Lazar Mathew,Prospect,IT Services,StrongWolf.com,Yes,Yes,No,Yes
261,MagnaSolution,1010,Augustine Paul,Customer,Manufacturing,ChezMedia.com,Yes,No,No,Yes
262,Peaches,1002,Santa Cruz Clara,Prospect,IT Services,CityCelebs.com,No,No,No,No
263,Hills Supermarkets,1006,Harold Pawlan,Customer,Financial Services,SmartRinger.com,Yes,Yes,No,Yes
264,Mighty Casey's,1007,David Love,Prospect,Government/Military,GothMarket.com,No,No,No,No
265,Alert Alarm Company,1001,Rozario Diego,Prospect,Technology,DermatologistLocator.com,Yes,No,No,Yes
266,Foreman & Clark,1010,Augustine Paul,Customer,Financial Services,AlbumParty.com,Yes,Yes,No,Yes
267,Crazy Eddie,1011,Tina Thomas,Customer,Pharma,Lookville.com,No,No,No,No
268,Harvest Foods,1010,Augustine Paul,Prospect,Communications,FullInsider.com,No,No,No,No
269,Buttrey Food & Drug,1003,Lazar Mathew,Prospect,Manufacturing,PositioningPros.com,No,No,No,No
270,Builderama,1008,Roger Terrence,Prospect,Service Provider,TheyTravel.com,No,No,No,No
271,MagnaSolution,1003,Lazar Mathew,Prospect,Consulting,WifiBuilder.com,No,No,No,No
